action,tau,dv_ms,count,share
1,1,5.0,2,0.008
2,1,10.0,10,0.04
3,1,25.0,14,0.056
4,1,5.0,1,0.004
5,1,10.0,8,0.032
6,1,25.0,25,0.1
10,30,0.0,33,0.132
11,60,0.0,19,0.076
16,180,0.0,32,0.128
17,360,0.0,33,0.132
24,1,25.0,8,0.032
25,1,25.0,6,0.024
26,1,35.35533905932738,15,0.06
27,1,35.35533905932738,15,0.06
28,1,35.35533905932738,10,0.04
29,1,35.35533905932738,19,0.076
-1,0,0.0,250,79.612
