alt_km,v_circ_ms,inplane_reserve_ms,dv_left_ms,di_max_deg_circ,di_max_deg_apo_e30,di_max_deg_apo_e50,di_max_deg_peri_e30
400.0,7672.598648385013,0.0,478.12987798780637,3.5710532920587643,4.867201000557344,6.187250542369387,2.6202409182769815
400.0,7672.598648385013,110.0,368.12987798780637,2.749304762233425,3.7469790787149444,4.762849916246416,2.0173488057432443
400.0,7672.598648385013,150.0,328.12987798780637,2.4505243953710925,3.3397200845286306,4.245080153223798,1.7981300338186346
400.0,7672.598648385013,235.0,243.12987798780637,1.8156689038307483,2.474428394043759,3.1450940517528396,1.3323109950972385
400.0,7672.598648385013,270.0,208.12987798780637,1.5542751283964897,2.118175639668808,2.6922486196935003,1.1405099935327316
400.0,7672.598648385013,325.0,153.12987798780637,1.1435292981822247,1.5583899222291075,1.9807165999177552,0.8391146684967004
400.0,7672.598648385013,386.0,92.12987798780637,0.6879917913723859,0.937579599647782,1.1916510565686662,0.50484655402933
400.0,7672.598648385013,439.0,39.12987798780637,0.29220599095692623,0.3982100122791957,0.5061167196096382,0.21442046941378012
800.0,7455.538661189395,0.0,478.12987798780637,3.675055821469347,5.008993361629057,6.36756868402417,2.6965402983089484
800.0,7455.538661189395,110.0,368.12987798780637,2.829363852037848,3.8561089556201718,4.901598599968979,2.0760880818799685
800.0,7455.538661189395,150.0,328.12987798780637,2.5218801341061394,3.4369811960327596,4.368730159327822,1.8504851419217876
800.0,7455.538661189395,235.0,243.12987798780637,1.8685347698475656,2.546480407640725,3.2366840949225,1.3711016213446634
800.0,7455.538661189395,270.0,208.12987798780637,1.5995290741735417,2.1798513789903913,2.770645603122446,1.1737158597949346
800.0,7455.538661189395,325.0,153.12987798780637,1.1768230773673634,1.6037636888769586,2.038389029835228,0.8635450452408839
800.0,7455.538661189395,386.0,92.12987798780637,0.7080221835002807,0.9648768570021554,1.2263460008759142,0.5195447176064129
800.0,7455.538661189395,439.0,39.12987798780637,0.30071327327068476,0.40980351710379437,0.520851863442403,0.22066309830684822
2000.0,6900.49454511403,0.0,478.12987798780637,3.970774406415273,5.412182464394514,6.880340028000697,2.913482632842962
2000.0,6900.49454511403,110.0,368.12987798780637,3.0569968888000756,4.166408316433322,5.296131178646934,2.243099617953244
2000.0,6900.49454511403,150.0,328.12987798780637,2.7247654139874675,3.7135294014347227,4.720322239946086,1.999344218208584
2000.0,6900.49454511403,235.0,243.12987798780637,2.0188461051365927,2.751345508696129,3.4971059521480767,1.4813926594012794
2000.0,6900.49454511403,270.0,208.12987798780637,1.728197244999077,2.35521239480057,2.9935524425291673,1.2681278882726472
2000.0,6900.49454511403,325.0,153.12987798780637,1.2714850657174985,1.7327725474735807,2.202367128434059,0.933006123809075
2000.0,6900.49454511403,386.0,92.12987798780637,0.7649730534563242,1.0424891851886122,1.3249918782973773,0.5613348324158584
2000.0,6900.49454511403,439.0,39.12987798780637,0.3249013314558758,0.4427663894379058,0.5627471214998352,0.23841225000784363
8000.0,5266.540074205392,0.0,478.12987798780637,5.203461938274041,7.093215511705505,9.018871683822894,3.817691305731358
8000.0,5266.540074205392,110.0,368.12987798780637,4.005776924429962,5.459907658842764,6.941039800048218,2.9391602763058056
8000.0,5266.540074205392,150.0,328.12987798780637,3.570370504205768,4.866270129864903,6.186066768408311,2.6197400012700913
8000.0,5266.540074205392,235.0,243.12987798780637,2.6452952031936525,3.605204256624121,4.582600130085169,1.9410364166262082
8000.0,5266.540074205392,270.0,208.12987798780637,2.264435392401254,3.0860774709871004,3.9226279307830203,1.6615913837554006
8000.0,5266.540074205392,325.0,153.12987798780637,1.665990325741135,2.2704306815963244,2.8857832516153916,1.2224828000259733
8000.0,5266.540074205392,386.0,92.12987798780637,1.0023127918870631,1.3659370216484847,1.7361009585366516,0.7354921823963602
8000.0,5266.540074205392,439.0,39.12987798780637,0.42570302074503785,0.5801365718565143,0.7373426529148502,0.31238028348846375
20200.0,3873.1555420221052,0.0,478.12987798780637,7.077497520805827,9.650275180656774,12.274250458547842,5.191938274531901
20200.0,3873.1555420221052,110.0,368.12987798780637,5.447815229173047,7.4265220949353745,9.443022611465064,3.9969081487753737
20200.0,3873.1555420221052,150.0,328.12987798780637,4.855494142683342,6.618622695829328,8.415007419142166,3.562466376828769
20200.0,3873.1555420221052,235.0,243.12987798780637,3.597222963388519,4.902879222644116,6.232622179926768,2.6394398703582067
20200.0,3873.1555420221052,270.0,208.12987798780637,3.0792460345284214,4.196738115300823,5.334695498306665,2.2594233258891565
20200.0,3873.1555420221052,325.0,153.12987798780637,2.265405341745823,3.0873995105549668,3.9243085891965372,1.6623030678145818
20200.0,3873.1555420221052,386.0,92.12987798780637,1.3629139271574828,1.8573761428301285,2.360747499992928,1.000094519587355
20200.0,3873.1555420221052,439.0,39.12987798780637,0.5788526621374284,0.788846084563697,1.0026107490252816,0.42476089414202806
