tag,decision,leg,action,tau,reward,terminal,cause,a_s,a_t,e_s,e_t,th_s,th_t,w_s,w_t,fuel,da,de,phi_orbit,dtheta,phi_phase,phi_vel,sigma2,sigma3,vrel_lvlh,dist,g_true,g_mean,dx_l,dy_l,phi_legacy,phi_next_legacy,r_legacy_gtau,r_legacy_g1,r_legacy_gdec,phi_S_A,phi_next_S_A,r_S_A_gtau,r_S_A_g1,r_S_A_gdec,phi_S_B,phi_next_S_B,r_S_B_gtau,r_S_B_g1,r_S_B_gdec,phi_S_C,phi_next_S_C,r_S_C_gtau,r_S_C_g1,r_S_C_gdec,phi_S_R,phi_next_S_R,r_S_R_gtau,r_S_R_g1,r_S_R_gdec,phi_S_R3,phi_next_S_R3,r_S_R3_gtau,r_S_R3_g1,r_S_R3_gdec
expert_g90_e0.0,1,A_open,6,1,-0.03714589402079582,0,0,7133128.925323486,7133128.925323486,0.0,0.0,0.08463183185051286,1.6554281586454094,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-1.5707963267948966,0.9999999999999999,2.572439484307497e-14,0.9999546021312976,7.352624252288554e-11,1.2862197421537486e-12,10087767.668348294,-1.5707963267948966,-1.5707963267948966,-7133128.925323485,-7133128.925323487,-0.009999546021312974,-0.047382382963334,-0.037145925027204346,-0.03738283694202102,-0.037145925027204346,-0.009999999999999998,-0.00915260183592026,0.0008931611732593391,0.0008473981640797386,0.0008931611732593391,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.16,-0.19843320136730003,-0.03744103536046353,-0.038433201367300024,-0.03744103536046353,-0.5000000000000001,-0.5013294369945857,0.0011772101903874121,-0.0013294369945855422,0.0011772101903874121,-0.5,-0.5408417813245223,-0.03813757241789972,-0.04084178132452232,-0.03813757241789972
expert_g90_e0.0,2,A_open,5,1,-0.018403343856334686,0,0,7085813.327789307,7133128.925323486,0.0066775064915418625,0.0,-3.078924199811124,1.7183063491272332,-3.0569608217392803,0.0,0.142746239900589,-47315.59753417969,0.0066775064915418625,4.738237259909511,1.4859547582412294,0.9152601777196544,0.5000106346987463,1.1323817139019105e-06,1.4034259733153048e-15,25.000531734937315,10088758.91094623,-1.571006063498051,-1.5701654740125273,-7134624.98450722,-7133034.606227725,-0.047382382963334,-0.06611630517144929,-0.018403340682258046,-0.01873392220811529,-0.018403340682258046,-0.00915260183592026,-0.008970591195314405,0.00022686359658242658,0.00018201064060585463,0.00022686359658242658,-1.0,-0.8891127218232744,0.11533284178584202,0.11088727817672561,0.11533284178584202,-0.19843320136730003,-0.2152393201129973,-0.015729922145132275,-0.016806118745697263,-0.015729922145132275,-0.5013294369945857,-0.5019244237031972,0.001914635409904386,-0.0005949867086115779,0.001914635409904386,-0.5408417813245223,-0.5568524875867021,-0.013226443824246314,-0.01601070626217982,-0.013226443824246314
expert_g90_e0.0,3,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,-3.0343280199060474,1.781184536277146,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.4676727509963925,0.8970591045002715,0.6990264434664237,9.682144708541988e-11,2.201180988347883e-19,34.95132217332119,10089997.142502517,-1.5712963860404683,-1.5692828428837169,-7136695.705473728,-7132714.542387196,-0.06611630517144929,-0.06611630517151537,0.01717298578581574,-6.608602554081244e-14,0.00033058152579149014,-0.008970591195314405,-0.009653093611146057,0.0018247828739914856,-0.0006825024158316519,-0.0006342369477759218,-0.8891127218232744,-0.8625604941592029,0.2505928643456401,0.026552227664071504,0.03086503013486752,-0.2152393201129973,-0.22245602182205249,0.050563812353605714,-0.0072167017090551955,-0.006104421599944926,-0.5019244237031972,-0.48885032511178417,0.1400476138656025,0.013074098591413064,0.01551835021697201,-0.5568524875867021,-0.5399847487466682,0.15712286033787914,0.016867738840033897,0.019567662583767187
expert_g90_e0.0,4,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,0.8067893617557161,-0.7293093628173655,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.5360987245730815,0.9653093595694612,4.146764551057999,9.682144708541988e-11,2.2627267712244016e-20,207.33822755289995,9663291.484192472,-1.502870412463779,-1.5162912784611953,-6656578.945653952,-7004938.190215762,-0.06611630517151537,-0.06611630517153569,0.017172985785866783,-2.0317081350640365e-14,0.0003305815258373562,-0.009653093611146057,-0.009862992561623346,0.0023519052917232858,-0.00020989895047728892,-0.00016058398766917274,-0.8625604941592029,-0.8306814653630948,0.24763943706861646,0.031879028796108044,0.036032436122923506,-0.22245602182205249,-0.22467093205326727,0.05614090249368964,-0.002214910231214784,-0.0010915555709484492,-0.48885032511178417,-0.47742185831971284,0.13543356304669318,0.011428466792071323,0.0138155760836699,-0.5399847487466682,-0.5231169881454775,0.15274166611468148,0.016867760601190773,0.019483345541918218
expert_g90_e0.0,5,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,-1.6827081702759317,3.043381983378903,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.5570951535247515,0.9862992553947799,2.2677402297237714,9.682144708541988e-11,1.1240153723938501e-20,113.38701148618857,9589531.514466265,-1.4818739835121093,-1.4632996456739829,-6504932.7310158275,-7045918.310050197,-0.06611630517153569,-0.06611630517161984,0.017172985785824803,-8.415490526658687e-14,0.0003305815257739486,-0.009862992561623346,-0.010732099202034362,0.0019184385282293506,-0.0008691066404110156,-0.0008154461444008429,-0.8306814653630948,-0.7996737994084357,0.23871417276804385,0.03100766595465909,0.03500603495170129,-0.22467093205326727,-0.23384569685249473,0.05156409254798627,-0.009174764799227464,-0.008005536314964978,-0.47742185831971284,-0.44719159268563335,0.1463833816443313,0.03023026563407949,0.03246622359750767,-0.5231169881454775,-0.5062492482950667,0.14836043476933464,0.01686773985041079,0.019398986091886172
expert_g90_e0.0,6,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,2.1769598856562884,0.5328880833575927,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.6440718022986953,1.0732099201610767,1.2600418437244683,9.682144708541988e-11,6.203139005299075e-22,63.002092186223415,9144209.379443284,-1.394897334738165,-1.4103080780772688,-5889926.167977907,-6994664.746138133,-0.06611630517161984,-0.06611630517165076,0.017172985785886073,-3.091971123581061e-14,0.00033058152582733646,-0.010732099202034362,-0.011051530215297468,0.0025510828608441907,-0.0003194310132631061,-0.00026417336218661873,-0.7996737994084357,-0.7731805148006058,0.22731845104970827,0.02649328460782996,0.030359187181832947,-0.23384569685249473,-0.23722780680721497,0.05823521339309698,-0.0033821099547202416,-0.0021959709206841593,-0.44719159268563335,-0.4458381954022073,0.11715498317942485,0.0013533972834260388,0.0035825882604370585,-0.5062492482950667,-0.4893814830745929,0.14397924295523495,0.016867765220473785,0.01931467263584674
expert_g90_e0.0,7,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,-0.30146179253104133,-1.9776058937027834,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.676144101171742,1.1051530215151408,4.766769926252514,9.682144708541988e-11,2.138886592958306e-22,238.3384963126257,8905431.416868677,-1.3628250358651188,-1.357316430778151,-5686968.9941682,-6853108.227652705,-0.06611630517165076,-0.06611630517170021,0.01717298578588039,-4.944655795924291e-14,0.0003305815258090594,-0.011051530215297468,-0.011562126758531851,0.0024925391880159867,-0.0005105965432343831,-0.000452785909441724,-0.7731805148006058,-0.7391344564385722,0.22602813421075518,0.03404605836203356,0.03774173064422648,-0.23722780680721497,-0.24265698899996455,0.057598311738302516,-0.005429182192749571,-0.004215897247749734,-0.4458381954022073,-0.4192253876101461,0.1355020084791484,0.02661280779206121,0.028708934730111935,-0.4893814830745929,-0.47251372949464954,0.13959801715404202,0.016867753579943356,0.019230322227416607
expert_g90_e0.0,8,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,-2.760448404489376,1.7950854930444882,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.7276514096457216,1.156212675850522,0.7207035514159102,9.682144708541988e-11,3.899631358181338e-23,36.03517757079551,8694919.739391828,-1.3113177273911392,-1.304324820048838,-5304178.801639833,-6889652.858794866,-0.06611630517170021,-0.06611630517177283,0.017172985785876074,-7.262246359829305e-14,0.00033058152578624433,-0.011562126758531851,-0.012312226458476787,0.00244786620900112,-0.0007500996999449359,-0.0006885385676525524,-0.7391344564385722,-0.7120233149637496,0.21205139540112472,0.02711114147482263,0.030671258049641437,-0.24265698899996455,-0.2507103061312057,0.05706593767884424,-0.008053317131241161,-0.006799765600585123,-0.4192253876101461,-0.4021764833155601,0.12150983890787687,0.017048904294585998,0.019059786711163818,-0.47251372949464954,-0.45564598791022376,0.13521679411356624,0.016867741584425777,0.0191459715239769
expert_g90_e0.0,9,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,1.0887221100947981,-0.7154084136497649,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.804130523744563,1.23122264584746,3.6095327292700397,9.682144708541988e-11,3.199948720673883e-24,180.476636463502,8203372.232203512,-1.2348386132922977,-1.2513332470045548,-4813537.195292089,-6642678.349101904,-0.06611630517177283,-0.06611630517178985,0.017172985785936103,-1.7014167852380524e-14,0.0003305815258419359,-0.012312226458476787,-0.012487952483754708,0.0030678827931815873,-0.00017572602527792143,-0.00011328626285914828,-0.7120233149637496,-0.6813262646471696,0.20766408179211748,0.030697050316579988,0.03410368163981581,-0.2507103061312057,-0.25261464539945233,0.0637095467995937,-0.0019043392682466243,-0.0006412660412493665,-0.4021764833155601,-0.3946541708148802,0.11002940886913809,0.007522312500679917,0.009495583354754311,-0.45564598791022376,-0.43877823177644837,0.13083559383892351,0.01686775613377539,0.019061647292657635
expert_g90_e0.0,10,B_drift,11,60,0.017172979190945625,0,0,7067106.004714966,7133128.925323486,0.009338456206023693,0.0,-1.4036698538265409,3.057282934058464,-3.038969137036861,0.0,0.1398274302482605,-66022.92060852051,0.009338456206023693,6.6116305170580745,1.8222325192945812,1.2487952483753493,2.912478941982097,9.682144708541988e-11,1.78136757039975e-24,145.62394709910484,8109483.708278023,-1.2167366177422796,-1.198341628252142,-4686916.581184493,-6617895.3584840335,-0.06611630517178985,-0.06611630517186706,0.017172985785895954,-7.721601136267964e-14,0.00033058152578212263,-0.012487952483754708,-0.013285470416772563,0.002653237429583415,-0.000797517933017855,-0.0007310905809339921,-0.6813262646471696,-0.6493077542145339,0.20066908467242228,0.032018510432635705,0.03526504920370843,-0.25261464539945233,-0.26136945983008136,0.059133038752965966,-0.008754814430629032,-0.0074479671314786056,-0.3946541708148802,-0.36303240373163204,0.12591545595356557,0.03162176708324815,0.03343692910190632,-0.43877823177644837,-0.4219104971986613,0.12645436305787455,0.016867734577787064,0.01897728706378038
