i_t_deg,da_m,di_deg,dv_ms,dv_axis,j2,orbits,n_obs,rho0_km,rho_max_km,oop_amp_m,raan_rate_deg_day,draan_deg_per_orbit,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_vrange_ms,sigma_vplane_ms,range_frac_of_box,j2_gain,fim_cond
51.6,30070.43981648589,0.04169392,0.0,none,1,1.0,95,30.48509078811882,287.90718801052844,5752.97643699291,-4.769666919805919,0.005029143512271291,413.39170978875364,13.638559708083282,11.069828198968478,0.1507404215325819,0.08120768888354638,0.08267834195775073,1.0065809438766717,5246.369509904831
51.6,30070.43981648589,0.04169392,0.0,none,1,3.0,284,30.48509078811882,852.0316734898664,13619.75823015671,-4.769666919805919,0.005029143512271291,54.182488120951724,12.927588859032053,10.74722702729057,0.03530959025494546,0.019228540337348735,0.010836497624190346,1.0032395384364123,110.1752877723221
51.6,30070.43981648589,0.04169392,1.0,nor,0,1.0,95,30.48509078811882,287.64530418032007,5021.368263215207,-4.769666919805919,0.005029143512271291,400.4688321589476,13.60221639911979,11.039631519515847,0.14590310203580834,0.07749006512469138,0.08009376643178952,1.0,4914.298758508162
51.6,30070.43981648589,0.04169392,1.0,nor,0,3.0,284,30.48509078811882,851.2277971094188,5021.368263215207,-4.769666919805919,0.005029143512271291,54.206604135670624,12.924118752959947,10.739723836829887,0.035253286254199295,0.019092008958354594,0.010841320827134125,1.0,109.99119112299726
51.6,30070.43981648589,0.04169392,1.0,nor,1,1.0,95,30.48509078811882,287.90379235012455,5152.53071590968,-4.769666919805919,0.005029143512271291,399.13149576633964,13.605064415432196,11.045268286142859,0.14552161670999217,0.07728002796571129,0.07982629915326793,1.0067124587119907,4878.632770205092
51.6,30070.43981648589,0.04169392,1.0,nor,1,3.0,284,30.48509078811882,852.020103220744,13106.365228067529,-4.769666919805919,0.005029143512271291,54.11861168106598,12.927588946793788,10.746363917276696,0.035267477346066486,0.019081511502877388,0.010823722336213195,1.0032544807101003,109.55008739757928
51.6,30070.43981648589,1.0,0.0,none,0,1.0,95,30.48509078811906,287.70156942338275,120427.96114010598,-4.769666919805919,0.011578600344612045,231.2747416691801,15.850541998012952,18.487737266641247,0.08159770040225742,1.0609260157202716,0.04625494833383602,1.0,90621.50921774449
51.6,30070.43981648589,1.0,0.0,none,0,3.0,284,30.48509078811906,851.2596098749611,120439.9318850941,-4.769666919805919,0.011578600344612045,49.729147805435446,15.072886078560705,15.503771099793358,0.02862136116475321,0.22167387537980485,0.00994582956108709,1.0,5842.559117145277
51.6,30070.43981648589,1.0,0.0,none,1,1.0,95,30.48509078811906,289.56423435813406,121295.36973088229,-4.769666919805919,0.011578600344612045,229.45193328718128,15.851098222942259,18.520312262905232,0.08122163706771753,1.0529961649541852,0.045890386657436257,1.0159514781016825,87497.15641349272
51.6,30070.43981648589,1.0,0.0,none,1,3.0,284,30.48509078811906,856.889095072084,129152.10515376992,-4.769666919805919,0.011578600344612045,49.381624072940724,15.081444909318915,15.553453217959648,0.028661544761085938,0.22003569509491236,0.009876324814588144,1.0141245489641841,5647.398438887516
51.6,30070.43981648589,1.0,1.0,nor,0,1.0,95,30.48509078811906,287.69485984734484,120427.96114010598,-4.769666919805919,0.011578600344612045,228.6004692233365,15.832090264316498,18.251169309482524,0.07972763608886174,1.0452218893595677,0.0457200938446673,1.0,87593.84162370503
51.6,30070.43981648589,1.0,1.0,nor,0,3.0,284,30.48509078811906,851.2599083343562,120427.96114010598,-4.769666919805919,0.011578600344612045,49.78234195184129,15.072673893875425,15.475803365707808,0.02848623214163825,0.22105483490010014,0.009956468390368258,1.0,5776.869051649716
51.6,30070.43981648589,1.0,1.0,nor,1,1.0,95,30.48509078811906,289.55454272542795,120619.10413770014,-4.769666919805919,0.011578600344612045,226.8668033085026,15.83343412857453,18.287987188670403,0.07939226125300523,1.0377398462519316,0.04537336066170052,1.0153419542667457,84629.3440879297
51.6,30070.43981648589,1.0,1.0,nor,1,3.0,284,30.48509078811906,856.8760910630627,128423.59547911653,-4.769666919805919,0.011578600344612045,49.43433644667117,15.081252381047188,15.526021286250812,0.02852893515613388,0.21942644249997756,0.009886867289334234,1.0141290635872156,5584.339557631937
97.4,0.0,0.0,0.0,none,0,1.0,95,4.999999889678475,4.999999889678475,8.464291322680682e-10,0.9889950764010182,0.0,inf,inf,inf,inf,inf,inf,inf,368130233651883.4
97.4,0.0,0.0,0.0,none,0,3.0,284,4.999999889678475,4.999999889678475,2.9831553063958503e-09,0.9889950764010182,0.0,281885.5318720124,0.7394206324141714,0.41915360959116815,0.17024243436750391,0.00046560624927380605,56.37710637440249,1.0,18726099912922.93
97.4,0.0,0.0,0.0,none,1,1.0,95,4.999999889678475,4.999999889678475,3.2229488746207706,0.9889950764010182,0.0,170436.37059582563,1.8238746451778558,0.7196378395419986,0.10273439043404638,0.0008051908876846721,34.08727411916512,inf,2388244130769.8003
97.4,0.0,0.0,0.0,none,1,3.0,284,4.999999889678475,4.999999889678475,13.450800842145481,0.9889950764010182,0.0,12845.72682750928,0.614560846753813,0.40638479317162424,0.007679682384192093,0.00044525267142628917,2.5691453655018557,481.53538590242636,45502114093.895226
97.4,0.0,0.0,1.0,nor,0,1.0,95,4.999999889678475,5.080721690795223,901.8209349335222,0.9889950764010182,0.0,9.311570301462636,0.8852645454420165,0.8047835933665664,0.0008505124959496463,0.0010496706387174068,0.0018623140602925272,1.0,9929.508023676486
97.4,0.0,0.0,1.0,nor,0,3.0,284,4.999999889678475,5.082901208791505,902.0983239917542,0.9889950764010182,0.0,7.466472603979071,0.47371297469914025,0.6772957665845453,0.00047396034051391296,0.0009408267851561499,0.001493294520795814,1.0,59004.46810632042
97.4,0.0,0.0,1.0,nor,1,1.0,95,4.999999889678475,4.999999889678475,904.0182997356732,0.9889950764010182,0.0,9.194674302204515,0.8745510264018953,0.796958190325592,0.0008412883712888209,0.0010419954790055913,0.001838934860440903,1.0255885245968142,10314.540532187015
97.4,0.0,0.0,1.0,nor,1,3.0,284,4.999999889678475,4.999999889678475,911.9304011987301,0.9889950764010182,0.0,7.318430856499731,0.4535991448392153,0.6664225938814159,0.00045652917661234357,0.0009331628721219194,0.001463686171299946,1.0408664344705212,70432.19917015142
97.4,0.0,0.04169392,0.0,none,0,1.0,95,4.99999988967827,7.070908448957358,4999.791679823913,0.9889950764010182,0.00036351094712275294,1718.1590392275039,0.9933804931677337,0.9262054952856199,0.002906914820224807,1.9019371593472387,0.3436318078455008,1.0,1970538056.963989
97.4,0.0,0.04169392,0.0,none,0,3.0,284,4.99999988967827,7.071001825195095,4999.895357932998,0.9889950764010182,0.00036351094712275294,683.7316600346228,0.4086169787624777,0.5018176588885256,0.0009342741490718316,0.7575782680113412,0.13674633200692457,1.0,6263381213.495718
97.4,0.0,0.04169392,0.0,none,1,1.0,95,4.99999988967827,7.069075963196406,5015.1878021684715,0.9889950764010182,0.00036351094712275294,1726.1186568737305,0.9787312258802081,0.924205657466506,0.002907122862222721,1.9107536598797832,0.3452237313747461,0.9907987025121452,2120965378.119625
97.4,0.0,0.04169392,0.0,none,1,3.0,284,4.99999988967827,7.069075963196406,5047.327970163882,0.9889950764010182,0.00036351094712275294,699.9633866498419,0.4004267917955987,0.48987788247633957,0.0009451275902887474,0.7755836199506294,0.1399926773299684,0.9541589603942611,7790045672.284576
97.4,0.0,0.04169392,1.0,nor,0,1.0,95,4.99999988967827,7.069954902510197,4998.471413864724,0.9889950764010182,0.00036351094712275294,14.70427725445499,0.941405897755422,1.0415908938543121,0.0008685452895869763,0.015008864481032927,0.0029408554508909977,1.0,119826.1656799524
97.4,0.0,0.04169392,1.0,nor,0,3.0,284,4.99999988967827,7.069954902510197,4998.471413864724,0.9889950764010182,0.00036351094712275294,9.20159559501343,0.35500471868401057,0.9490894646033798,0.0003777361047863969,0.009162378856135368,0.001840319119002686,1.0,944209.3278609926
97.4,0.0,0.04169392,1.0,nor,1,1.0,95,4.99999988967827,7.069075963196406,5010.500874223832,0.9889950764010182,0.00036351094712275294,14.687147096013087,0.9301915375335889,1.034130487730168,0.0008597838489965237,0.01499904890768049,0.002937429419202617,1.0023340337093312,128165.7590906129
97.4,0.0,0.04169392,1.0,nor,1,3.0,284,4.99999988967827,7.069075963196406,5010.500874223832,0.9889950764010182,0.00036351094712275294,9.104881823006655,0.33832663084621367,0.9369247789338744,0.00036054497754950767,0.009054289977194586,0.001820976364601331,1.0213572081133164,1112701.805297856
97.4,0.0,1.0,0.0,none,0,1.0,95,4.999999889677978,120.01883520638614,119910.48785197895,0.9889950764010182,0.008708648457320783,67.31351727255725,2.6531841329015444,3.389183524768754,0.03054984234725385,1.7242545127893825,0.01346270345451145,1.0,60864635.73990756
97.4,0.0,1.0,0.0,none,0,3.0,284,4.999999889677978,120.02199969799479,119912.97437408817,0.9889950764010182,0.008708648457320783,36.42737428417763,1.3846568026606114,1.9943112487668346,0.01665567563407107,0.9477315018775597,0.007285474856835526,1.0,377879207.725539
97.4,0.0,1.0,0.0,none,1,1.0,95,4.999999889677978,120.43483916121404,120343.71896360679,0.9889950764010182,0.008708648457320783,67.0516751545927,2.659894341317557,3.5224216298338433,0.030434219997145254,1.7173775863580905,0.013410335030918541,1.007825408522462,67923214.97415741
97.4,0.0,1.0,0.0,none,1,3.0,284,4.999999889677978,121.3658157476722,121305.15181527432,0.9889950764010182,0.008708648457320783,35.94675905415291,1.3071077728149123,1.953973620299109,0.016459286932120034,0.9369150877614183,0.0071893518108305824,1.0269191550378816,514136588.1290155
97.4,0.0,1.0,1.0,nor,0,1.0,95,4.999999889677978,119.98651749614902,119878.82378565805,0.9889950764010182,0.008708648457320783,53.46269547229578,2.5884534569191517,3.3965998322045685,0.023765240218842746,1.350912430261707,0.010692539094459155,1.0,37065421.283931725
97.4,0.0,1.0,1.0,nor,0,3.0,284,4.999999889677978,119.98651749614902,119878.82378565805,0.9889950764010182,0.008708648457320783,27.245352257003642,1.3776793353333667,2.6722944852694357,0.01234948961993002,0.7004778911804151,0.005449070451400729,1.0,204582870.61270154
97.4,0.0,1.0,1.0,nor,1,1.0,95,4.999999889677978,120.28594638543265,120180.73529385157,0.9889950764010182,0.008708648457320783,57.59196832371202,2.588046868576698,3.512107634258478,0.025694005036139517,1.4608963057578916,0.011518393664742404,0.8617431877804302,50151367.442535415
97.4,0.0,1.0,1.0,nor,1,3.0,284,4.999999889677978,120.64067606009014,120579.70375529616,0.9889950764010182,0.008708648457320783,26.721544348926702,1.2991892687764637,2.707632698883819,0.0121335536401165,0.6886876678480859,0.005344308869785341,1.0395891690996948,281238011.25646716
