episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000011.npz,1,1,608,6.533724216165635,7060.0125,6802.2935,141.00463923903226,185.0,249.58054282492884,216.6200474583601,141.14876780136882,0.7412436799200744,0.8540299116847055,1.3106738576729249,15422.078863044779,2,5104.015001518536,10021.351936804476,1,9497.280724789915,20878.3440137808,3,8,-4.128937583080905e-05,0.0004532874925868209,0.00044783747430761546
ep_0000012.npz,1,1,871,8.71488557927661,7056.462,7133.968,40.93838770491766,300.0,1535.9956580399864,1535.9956580399864,279.05196437718996,0.19531305211032707,0.19531305211032707,1.075068583263922,15885.360158302039,3,0.0,15885.360158302039,3,731.432428440126,46601.44924147755,8,12,-3.05528200883587e-05,0.0006296805718273648,0.0006242725311449563
ep_0000013.npz,1,1,515,5.350144635828087,7164.859,6957.523,110.31429062209372,250.0,351.35969309718473,285.6124893879432,229.5793373122815,0.7115215686702315,0.8753118623619737,1.0889481733277313,15326.547302407882,2,4078.3932092006135,10367.928386125326,1,20261.198668920686,9281.751192282953,1,10,1.9538932979792268e-05,0.00036714281174042714,0.0003589948104234694
ep_0000014.npz,1,1,695,6.99615572494396,6779.195,7105.2125,177.96048843411336,270.0,671.7721825067522,564.8500642815203,379.58119374360354,0.401921971511951,0.4780029552504972,0.7113102662888442,17194.613539521815,2,4122.288077354564,11859.01795398039,1,4133.0929539784665,35410.70972118201,5,12,-1.3609074797124935e-05,0.0005299477994480795,0.0005183272513549045
ep_0000015.npz,1,1,832,8.337747726234959,6945.972,7126.5045,96.56289756061778,205.0,904.1450385258727,904.1450385258727,234.4242053688626,0.22673353418411066,0.22673353418411066,0.8744830751476192,14834.062291393933,2,0.0,14834.062291393933,2,5040.504201680673,44565.062452437094,7,10,6.515995907938307e-05,0.0005939431614091881,0.0005862023818256495
ep_0000016.npz,1,1,1089,11.395558595657995,6756.4145,6923.9675,93.50033977044768,200.0,595.816154759718,595.816154759718,329.6737500801112,0.33567401353972426,0.33567401353972426,0.606660372417882,16991.168571161175,2,0.0,16991.168571161175,2,2951.281512605042,57126.911848945645,9,8,-5.0817699356643667e-05,0.0007934456571141595,0.00078427277090442
ep_0000017.npz,1,1,664,7.076461512118148,7065.935,6840.0845,122.98259578861416,295.0,702.0765590961579,378.4354485116972,223.7722489590073,0.420182095781375,0.7795252827402128,1.3183046663397517,14646.494453542817,2,945.341502667424,9726.769647360343,1,1340.5491727941176,25152.099615023533,4,13,3.235654188387529e-05,0.000493596205651806,0.00048512418896522874
ep_0000018.npz,1,1,272,2.8892843667536146,7028.868,6855.081,94.85433334666232,200.0,143.12382835303723,141.29549993748344,141.2282224335158,1.3973913519604075,1.415473246412593,1.4161475415733666,10252.645296806122,1,170.51947220985755,10073.904695138643,1,209.26339285714286,10033.920971449083,1,8,8.790150345479936e-06,0.00020117827627887146,0.00019538612435858138
ep_0000019.npz,1,1,530,5.379194480554996,6783.2685,7066.417,155.13377806730114,185.0,308.09226307834797,308.09226307834797,286.4842446280895,0.6004694767455242,0.6004694767455242,0.6457597702804384,16885.817208708406,2,0.0,16885.817208708406,2,0.0,28639.943592050706,4,8,-4.09573916450462e-06,0.0003919508703004718,0.0003865632495678958
ep_0000020.npz,1,1,588,6.258226984376309,7034.9065,6846.115,103.0776030421639,350.0,1191.4987385615468,702.8024388547733,285.37007463143357,0.29374768824559755,0.49800623994750226,1.2264775851218404,14874.809060530331,2,2353.734709509136,9522.168730946696,1,2719.4806985294117,31075.90136584528,5,14,-3.143115947385904e-05,0.00042673769096244867,0.000421602866390065
ep_0000021.npz,1,1,1180,12.854945481222767,7118.2585,6740.6435,206.7096924304269,250.0,1626.5041180038222,1626.5041180038222,206.25899034638928,0.1537038838283547,0.1537038838283547,1.2120683785960191,13422.713082674942,1,0.0,13422.713082674942,1,6362.535287552521,55010.64124804792,9,12,0.00013512176873132565,0.0009319053376555921,0.000922531037706317
ep_0000022.npz,1,1,955,10.038458174243923,7086.6575,6903.21,98.99272681671482,235.0,1036.9464386255502,1036.9464386255502,186.46902218139297,0.22662694161087757,0.22662694161087757,1.260262950118316,14096.887698110264,1,0.0,14096.887698110264,1,1926.0504201680671,52961.6987858115,8,10,0.00011035788296147463,0.0007247269193984801,0.0007179895371856284
ep_0000023.npz,1,1,310,3.1339302868052976,6728.828,7085.031,195.93736101956165,195.0,264.6438953479837,195.8403901670377,195.77413611213234,0.7368392146117407,0.9957088005884746,0.9960457692343541,14623.153597819713,2,4631.708227180616,8770.975037349977,1,8048.015280330884,2756.365140775897,0,9,-1.3129847188605853e-05,0.0002181602741267036,0.00021372347818059617
ep_0000024.npz,1,1,404,4.041739624344057,6986.075,7134.5875,79.02823833663751,255.0,323.5744667406489,259.0457129777461,245.23995365157424,0.7880720706074357,0.984382243075014,1.0397979456573068,15656.939612286791,2,6878.708133823841,3959.7888949460194,0,10951.424960609242,3861.290481377165,0,12,-1.4554720241127975e-05,0.00030745456407884323,0.0003001590685372633
ep_0000025.npz,1,1,222,2.2462042094839743,6984.5245,7081.023,51.65081176775675,165.0,200.40077959557595,161.1813176385893,151.0650866942053,0.8233500904187228,1.0236918423137178,1.0922444332488457,15537.954848886733,2,6690.725463961057,4089.472281423234,0,10387.202845982141,2916.631934464962,0,8,1.9463618895268147e-05,0.00014459840134814394,0.00013792887990797588
ep_0000026.npz,1,1,1248,13.75549803497239,7161.3325,6688.3505,259.2142090287971,385.0,1610.8785247241563,1227.7097475614287,255.94542395610847,0.23900002023177178,0.3135920365255033,1.5042269326371032,14366.418154971729,2,3551.1154815413356,9024.646571254763,1,42226.922268907576,3430.3447433885894,0,16,2.2616137954103187e-05,0.0009174069276847665,0.000900530952355019
ep_0000027.npz,1,1,626,6.737619673333486,7056.68,6795.2495,143.1966148370584,135.0,767.0412106129411,711.4810077978959,143.68894189925226,0.17600097378356214,0.18974505084519172,0.939529501822454,13491.771201053256,2,6689.602884292859,11149.338140488098,1,24759.405527836134,8785.798866030342,1,6,2.804955320353817e-06,0.0004429430404599445,0.0004403708117198541
