action_set,min_tangential_ms,min_radial_ms,best_residual_tangential_ms,best_residual_radial_ms,best_residual_relvel_ms,da_quantum_km,meets_50ms_box,meets_1ms_tight_box,box50_margin_x,box1_margin_x,da_allowed_by_50ms_box_km,da_allowed_by_1ms_box_km,alongtrack_closure_km_per_step_at_50ms
legacy D10,5,10,2.5,5.0,5.5901699437494745,8.824910972536289,1,0,8.94427190999916,0.17888543819998318,88.24910972536289,1.764982194507258,8.85557162596702
D16,1,10,0.5,5.0,5.024937810560445,1.764982194507258,1,0,9.950371902099892,0.19900743804199783,88.24910972536289,1.764982194507258,8.85557162596702
D16 + 1 m/s radial (proposed),1,1,0.5,0.5,0.7071067811865476,1.764982194507258,1,1,70.71067811865474,1.414213562373095,88.24910972536289,1.764982194507258,8.85557162596702
