warp,tau,cap_reward,V_fail,V_succ,n_success,break_even_p
coast,1,-10.0,-2.9608687506881366e-06,0.01959453582681114,6,0.00015108402857180598
coast,1,0.0,6.132094404605e-17,0.01959453582681114,6,-3.1294920475811907e-15
warp5,5,-10.0,-0.49662132773908035,2.8675703945645523,6,0.14761980550829562
warp5,5,0.0,8.906285896541356e-17,2.8675703945645523,6,-3.105864781357459e-17
warp30,30,-10.0,-6.088145090359073,8.09726805863725,6,0.42918348774281806
warp30,30,0.0,3.9671262812066576e-16,8.09726805863725,6,-4.899339199935435e-17
warp60,60,-10.0,-7.8222367544587135,8.994165881964241,6,0.46515517757147345
warp60,60,0.0,5.915788051056791e-16,8.994165881964241,6,-6.577361512666297e-17
