alt_km,a_km,v_circ_ms,di_deg,dv_circ_ms,frac_budget_circ,dv_apo_e10_ms,dv_per_e10_ms,dv_apo_e30_ms,dv_per_e30_ms,dv_apo_e50_ms,dv_per_e50_ms
400.0,6771.0,7672.598648385013,0.05,6.695605217461131,0.014003737322669234,6.056402795635785,7.40227008355485,4.913230995498466,9.124571848782864,3.8657094746886465,11.59712842406594
400.0,6771.0,7672.598648385013,0.1,13.391209160173542,0.028007471979224555,12.11280443821797,14.804538757821964,9.826461055587105,18.24914196037605,7.731418213400776,23.19425464020233
400.0,6771.0,7672.598648385013,0.2,26.782408122358774,0.05601492262954084,24.225599652008437,29.60906624134365,19.652914627896653,36.498270023236635,15.462830538990257,46.388491616970775
400.0,6771.0,7672.598648385013,0.25,33.47800059233634,0.07001863329107855,30.281990917111493,37.011322232025165,24.56613626929951,45.622824500127656,19.328532653915836,57.98559796174751
400.0,6771.0,7672.598648385013,0.5,66.95584184126464,0.1400369333182985,60.56383770268736,74.02246830328455,49.13215561250408,91.24543185179328,38.65697331087214,115.97091993261644
400.0,6771.0,7672.598648385013,0.75,100.43336440413525,0.21005456681938747,90.84539622587798,111.03326205385088,73.69794110407528,136.8676049075684,57.98522997434726,173.9556899230418
400.0,6771.0,7672.598648385013,1.0,133.91040893981537,0.2800712005352455,121.12652235720574,148.04352732547372,98.26337581958776,182.48912652209154,77.31321064869526,231.93963194608583
400.0,6771.0,7672.598648385013,1.5,200.86242657720763,0.4201001356002483,181.68690093733858,222.06176781230275,147.39272523363945,273.7293468624733,115.96797605443226,347.90392816329677
400.0,6771.0,7672.598648385013,2.0,267.81062008353473,0.5601210725642304,242.24382046077358,296.07578056316777,196.51926850266472,364.96435579066303,154.62053359706937,463.8616007912081
400.0,6771.0,7672.598648385013,3.0,401.6904364116638,0.8401282892049429,363.34267075952823,444.08548648386795,294.76019548258995,547.4117916105241,231.91608159317232,695.748244779517
400.0,6771.0,7672.598648385013,5.0,669.3481050853186,1.3999294666592428,605.4481414645579,739.9921729011265,491.167228334642,912.1677097643351,386.44830865257455,1159.3449259577237
400.0,6771.0,7672.598648385013,7.5,1003.623921862692,2.0990612970818927,907.811994393686,1109.5479931478385,736.4586173420303,1367.708860778056,579.4425414525731,1738.3276243577193
400.0,6771.0,7672.598648385013,10.0,1337.4220680093479,2.79719408801191,1209.7437779804152,1478.57572864273,981.3994919340286,1822.5990564489102,772.1609909853429,2316.482972956029
400.0,6771.0,7672.598648385013,15.0,2002.95017201282,4.189134091435927,1811.7365984575451,2214.344731448111,1469.763605821418,2729.5609822397764,1156.403820985009,3469.211462955027
400.0,6771.0,7672.598648385013,20.0,2664.6655465236204,5.57309984002208,2410.2806753471345,2945.898603202054,1955.3299411492242,3631.3270335628445,1538.4453705857334,4615.3361117572
400.0,6771.0,7672.598648385013,28.5,3777.270846779544,7.900093720718861,3416.6700355406647,4175.9300434385905,2771.7590270095293,5147.552478731983,2180.8083401902954,6542.425020570887
400.0,6771.0,7672.598648385013,38.94,5114.757545561754,10.697422982824333,4626.47227425476,5654.577224089153,3753.2059449649823,6970.239612077824,2953.0066457697485,8859.019937309246
