geom,rho0_km,rho_over_r,period_min,arc_min,burn_dv_ms,burn_dir,burn_t_min,k,hyp_valid,hyp_a_km,hyp_perigee_alt_km,arm,t_1sig_min,t_3sig_min,t_D3_min,D_final,dbeta_10min,dbeta_1h,dbeta_6h,dbeta_24h,dbeta_50h,dbeta_max,pow_p
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,0.0,none,nan,0.5,1,6771.19815735211,393.4283393396083,nonlinear,nan,nan,53.0,8.345548886777308,0.000104808255473543,0.0002154760604211603,0.0007948911026876004,nan,nan,0.0007948911026876004,-0.08319889929204355
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,0.0,none,nan,0.5,1,6771.19815735211,393.4283393396083,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,0.0,none,nan,0.5,1,6771.19815735211,393.4283393396083,nonlinear_minus_linear,nan,nan,53.0,8.345548886777308,0.000104808255473543,0.0002154760604211603,0.0007948911026876004,nan,nan,0.0007948911026876004,-0.08319889929204355
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,0.0,none,nan,2.0,1,6770.61474056093,392.8330845671594,nonlinear,29.0,nan,29.0,16.41323991772422,0.00020988675415978264,0.00044765365635868193,0.0015627629900283324,nan,nan,0.0015627629900283324,-0.08969300748936516
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,0.0,none,nan,2.0,1,6770.61474056093,392.8330845671594,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,0.0,none,nan,2.0,1,6770.61474056093,392.8330845671594,nonlinear_minus_linear,29.0,nan,29.0,16.41323991772422,0.00020988675415978264,0.00044765365635868193,0.0015627629900283324,nan,nan,0.0015627629900283324,-0.08969300748936516
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6771.19815735211,393.4283393396083,nonlinear,37.0,37.0,37.0,646.9936006757919,0.000104808255473543,0.05405819057209316,0.00392439254345156,nan,nan,0.06968776644134955,2.866748108356758
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6771.19815735211,393.4283393396083,linear_classical,37.0,37.0,37.0,646.4181252025487,0.0,0.05402399443409944,0.003158997889888049,nan,nan,0.06931931904088717,-1.0725859399923443
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6771.19815735211,393.4283393396083,nonlinear_minus_linear,nan,nan,75.0,8.095504022622778,0.000104808255473543,3.4196137993713904e-05,0.0007653946535635114,nan,nan,0.00077072708459891,-0.24600308596197967
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6770.61474056093,392.8330845671594,nonlinear,29.0,37.0,29.0,389.3811850931082,0.00020988675415978264,0.03679236006239961,0.003510744707250435,nan,nan,0.04231993770988751,2.2125676138347177
