band,alt_lo_km,alt_hi_km,a_lo_km,a_hi_km,e_max_perigee_at_a_hi,e_max_valid_for_whole_band,e_max_both_apsides_in_band,period_lo_min,period_hi_min,simsteps_per_orbit_hi,orbits_in_2000_steps,v_circ_hi_ms,f_affordable_da_over_a,da_affordable_km,orbits_to_phase_180,simsteps_to_phase_180,required_MAX_STEPS,dec_180_warp5,dec_180_warp60,FLAG_needs_bigger_warp
LEO-narrow,300.0,800.0,6671.0,7171.0,0.0836703388648724,0.014990256333383356,0.03612194769541974,90.37454859633189,100.72315336143406,100.72315336143406,19.856407720111957,7455.538661189395,0.03847849764176767,275.9293065891159,8.662846882345699,872.5492550771268,1500,177,18,0
LEO-wide,300.0,2000.0,6671.0,8371.0,0.21502807310954486,0.014990256333383356,0.11301688605238665,90.37454859633189,127.03568771420369,127.03568771420369,15.74360745383191,6900.49454511403,0.04157353142113718,348.0120315263393,8.017922027279528,1018.562238774317,2000,207,26,0
LEO/MEO,300.0,8000.0,6671.0,14371.0,0.542759724445063,0.014990256333383356,0.36593479707252163,90.37454859633189,285.75261549712826,285.75261549712826,6.99906104628498,5266.540074205392,0.05447180174281073,782.814262845933,6.119374110428193,1748.6271572602686,3000,353,34,0
MEO,300.0,20200.0,6671.0,26571.0,0.7527003123706296,0.014990256333383356,0.5986402743517237,90.37454859633189,718.4086936595843,718.4086936595843,2.783930675743874,3873.1555420221052,0.07406826905869883,1968.0679771586865,4.500352682322951,3233.0924915150376,5500,649,61,0
MEO/GEO,300.0,35786.0,6671.0,42157.0,0.8441302749246863,0.014990256333383356,0.7267551404931597,90.37454859633189,1435.701905557181,1435.701905557181,1.3930468381065642,3074.921541506354,0.0932960151731699,3933.080111655324,3.572857133443717,5129.557794768712,8500,1026,86,0
