alt1_km,alt2_km,da_km,di_deg,dv_hohmann_ms,dv_plane_at_hi_ms,dv_sequential_ms,dv_combined_burn2_ms,dv_combined_optsplit_ms,opt_split_frac_burn1,save_vs_seq_ms,save_vs_seq_pct
400.0,500.0,100.0,0.1,56.03708933425429,13.293404687512881,69.33049402176717,59.0251800403755,57.60360604975005,0.5,11.726887972017117,16.914473403774267
400.0,500.0,100.0,0.25,56.03708933425429,33.23348957361484,89.27057890786912,71.45852505768639,65.21304105886722,0.49,24.057537849001903,26.949010685626067
400.0,500.0,100.0,0.5,56.03708933425429,66.46682096760735,122.50391030186164,100.06836826639454,87.12121400970847,0.49,35.38269629215317,28.882911741320534
400.0,500.0,100.0,1.0,56.03708933425429,132.93237650275333,188.96946583700762,163.67333871404642,144.69803441366747,0.48,44.27143142334015,23.427822705243667
400.0,500.0,100.0,2.0,56.03708933425429,265.85462969036735,321.89171902462164,294.9056536048799,272.56690282827213,0.44,49.3248161963495,15.323418802388211
400.0,500.0,100.0,5.0,56.03708933425429,664.4594324000334,720.4965217342876,691.8976839164811,668.3076016193642,0.26,52.18892011492346,7.243465935033375
400.0,800.0,400.0,0.1,217.01530841059014,13.012368063167518,230.02767647375765,217.78705677882823,217.41608637245605,0.48,12.611590101301601,5.482640304259377
400.0,800.0,400.0,0.25,217.01530841059014,32.530898480923675,249.5462068915138,221.75187887195457,219.50813421022008,0.48,30.038072681293727,12.037078445496986
400.0,800.0,400.0,0.5,217.01530841059014,65.06164212630941,282.0769505368995,234.894374153101,226.82188771003922,0.48,55.255062826860296,19.58864867253029
400.0,800.0,400.0,1.0,217.01530841059014,130.12204557273705,347.1373539833272,277.49040106694355,253.9754622021236,0.48,93.16189178120362,26.837184391766186
400.0,800.0,400.0,2.0,217.01530841059014,260.23418184791575,477.2494902585059,389.1948381021945,341.6007989425093,0.47,135.6486913159966,28.423014394949153
400.0,800.0,400.0,5.0,217.01530841059014,650.4120577593175,867.4273661699076,763.9072718523684,693.1910280169191,0.39,174.23633815298854,20.086562281557065
400.0,1000.0,600.0,0.1,318.75888959628054,12.834619405221446,331.59350900150196,319.2691856771727,319.02789762151906,0.47,12.565611379982897,3.7894624107150365
400.0,1000.0,600.0,0.25,318.75888959628054,32.08652713216576,350.8454167284463,321.9216779043019,320.4364620698909,0.47,30.408954658555388,8.667337011870346
400.0,1000.0,600.0,0.5,318.75888959628054,64.1729015438436,382.9317911401241,331.05726821964913,325.41698870852787,0.47,57.51480243159625,15.019594549816361
400.0,1000.0,600.0,1.0,318.75888959628054,128.344581328145,447.10347092442555,363.5175477356804,344.61632246130716,0.47,102.48714846311839,22.922467645177804
400.0,1000.0,600.0,2.0,318.75888959628054,256.67938871951566,575.4382783157962,459.9640860089406,412.53449733789466,0.46,162.90378097790153,28.309514176688324
400.0,1000.0,600.0,5.0,318.75888959628054,641.5274435355695,960.2863331318501,814.9808112353239,727.0903245859027,0.41,233.1960085459474,24.284007852679593
400.0,1400.0,1000.0,0.1,510.0580870626728,12.499934746173436,522.5580218088462,510.35870280085373,510.2213793339778,0.46,12.336642474868427,2.3608177388923943
400.0,1400.0,1000.0,0.25,510.0580870626728,31.249816042088966,541.3079031047617,511.9310614056147,511.0778003392145,0.46,30.230102765547258,5.584640939501799
400.0,1400.0,1000.0,0.5,510.0580870626728,62.499483346138,572.5575704088109,517.4683949205494,514.1247009333772,0.46,58.43286947543368,10.205588484964423
400.0,1400.0,1000.0,1.0,510.0580870626728,124.99777679220415,635.055863854877,538.520790908185,526.1344417231116,0.46,108.92142213176533,17.151470969907628
400.0,1400.0,1000.0,2.0,510.0580870626728,249.98603451975697,760.0441215824299,610.31313653425,571.6218940536381,0.45,188.42222752879172,24.790959127016496
400.0,1400.0,1000.0,5.0,510.0580870626728,624.7985178907394,1134.8566049534122,922.3931420026322,821.4938131041404,0.42,313.36279184927184,27.61254509878241
400.0,2400.0,2000.0,0.1,927.412592071425,11.765804958695641,939.1783970301207,927.5565698911876,927.49612956781,0.42,11.68226746231062,1.243881620281344
400.0,2400.0,2000.0,0.25,927.412592071425,29.41449279636387,956.8270848677889,928.3116957725983,927.9345733006462,0.42,28.89251156714272,3.019616817299333
400.0,2400.0,2000.0,0.5,927.412592071425,58.82884559017547,986.2414376616005,930.9982654833486,929.498690883689,0.42,56.74274677791141,5.75343365337089
400.0,2400.0,2000.0,1.0,927.412592071425,117.65657116393083,1045.069163235356,941.5883837817296,935.7280306305954,0.42,109.34113260476056,10.462573813417196
400.0,2400.0,2000.0,2.0,927.412592071425,235.3041823244416,1162.7167743958667,981.7204336445373,960.2269712404006,0.42,202.489803155466,17.41523022755711
400.0,2400.0,2000.0,5.0,927.412592071425,588.1036700799551,1515.51626215138,1202.7218174934826,1116.1616959727944,0.4,399.3545661785856,26.35105779806508
800.0,900.0,100.0,0.1,51.445889819149315,12.92257698188836,64.36846680103767,54.50412097150038,53.05504079709863,0.5,11.313426003939043,17.576037718761793
800.0,900.0,100.0,0.25,51.445889819149315,32.306420927306604,83.75231074645592,66.99205592664532,60.80823071369634,0.49,22.94408003275958,27.395160597082974
800.0,900.0,100.0,0.5,51.445889819149315,64.61268808750881,116.05857790665813,95.19154552104936,82.76557991045493,0.49,33.2929979962032,28.686374240238923
800.0,900.0,100.0,1.0,51.445889819149315,129.2241460425736,180.6700358617229,157.2982571043328,139.49276895447684,0.48,41.177266907246064,22.791420121686023
800.0,900.0,100.0,2.0,51.445889819149315,258.4384511661145,309.8843409852638,285.0321564245639,264.3062830330128,0.43,45.578057952251015,14.708086832441278
800.0,900.0,100.0,5.0,51.445889819149315,645.9239275696619,697.3698173888113,671.0814536231579,649.3076562727811,0.25,48.06216111603021,6.8919187377496804
800.0,1200.0,400.0,0.1,199.58560363800441,12.663961374387311,212.2495650123917,200.38039980322094,199.99771415181766,0.48,12.251850860574052,5.772379726600973
800.0,1200.0,400.0,0.25,199.58560363800441,31.65988233937559,231.24548597738,204.45345291053593,202.1474727030681,0.48,29.09801327431191,12.583170283876687
800.0,1200.0,400.0,0.5,199.58560363800441,63.31961398894112,262.90521762694556,217.85188346088785,209.6448458602623,0.48,53.26037176668325,20.25839283351846
800.0,1200.0,400.0,1.0,199.58560363800441,126.63802246370514,326.22362610170956,260.6012514438616,237.27250029577885,0.48,88.9511258059307,27.266917135608576
800.0,1200.0,400.0,2.0,199.58560363800441,253.26640095170063,452.8520045897051,370.8244918333458,325.04749249527913,0.47,127.80451209442595,28.222136768549795
800.0,1200.0,400.0,5.0,199.58560363800441,632.9972482268332,832.5828518648376,736.8943934239294,670.6393721381762,0.39,161.9434797266614,19.45073446611791
