control: RK4(h=15 s, J2 off) vs oracle over 1 orbit = 1.20e-08 rel   |   J2-STM symplecticity = 1.68e-09

   i_t      da_m       dI    dv   ax   J2  orb |      sig_rng    /box  sig_plane    J2 gain
  51.6   30070.4   1.0000   1.0  nor    0  3.0 |        49.78   0.010     15.476          1
  51.6   30070.4   1.0000   1.0  nor    1  1.0 |       226.87   0.045     18.288       1.02
  51.6   30070.4   1.0000   1.0  nor    1  3.0 |        49.43   0.010     15.526       1.01

-- i_t = 97.4 deg, RAAN rate = +0.989 deg/day --
  97.4       0.0   0.0000   0.0    -    0  1.0 |          inf     inf        inf        inf
  97.4       0.0   0.0000   0.0    -    0  3.0 |    281885.53  56.377      0.419          1
  97.4       0.0   0.0000   0.0    -    1  1.0 |    170436.37  34.087      0.720        inf
  97.4       0.0   0.0000   0.0    -    1  3.0 |     12845.73   2.569      0.406        482

  97.4       0.0   0.0000   1.0  nor    0  1.0 |         9.31   0.002      0.805          1
  97.4       0.0   0.0000   1.0  nor    0  3.0 |         7.47   0.001      0.677          1
  97.4       0.0   0.0000   1.0  nor    1  1.0 |         9.19   0.002      0.797       1.03
  97.4       0.0   0.0000   1.0  nor    1  3.0 |         7.32   0.001      0.666       1.04

  97.4       0.0   0.0417   0.0    -    0  1.0 |      1718.16   0.344      0.926          1
  97.4       0.0   0.0417   0.0    -    0  3.0 |       683.73   0.137      0.502          1
  97.4       0.0   0.0417   0.0    -    1  1.0 |      1726.12   0.345      0.924      0.991
  97.4       0.0   0.0417   0.0    -    1  3.0 |       699.96   0.140      0.490      0.954

  97.4       0.0   0.0417   1.0  nor    0  1.0 |        14.70   0.003      1.042          1
  97.4       0.0   0.0417   1.0  nor    0  3.0 |         9.20   0.002      0.949          1
  97.4       0.0   0.0417   1.0  nor    1  1.0 |        14.69   0.003      1.034          1
  97.4       0.0   0.0417   1.0  nor    1  3.0 |         9.10   0.002      0.937       1.02

  97.4       0.0   1.0000   0.0    -    0  1.0 |        67.31   0.013      3.389          1
  97.4       0.0   1.0000   0.0    -    0  3.0 |        36.43   0.007      1.994          1
  97.4       0.0   1.0000   0.0    -    1  1.0 |        67.05   0.013      3.522       1.01
  97.4       0.0   1.0000   0.0    -    1  3.0 |        35.95   0.007      1.954       1.03

  97.4       0.0   1.0000   1.0  nor    0  1.0 |        53.46   0.011      3.397          1
  97.4       0.0   1.0000   1.0  nor    0  3.0 |        27.25   0.005      2.672          1
  97.4       0.0   1.0000   1.0  nor    1  1.0 |        57.59   0.012      3.512      0.862
  97.4       0.0   1.0000   1.0  nor    1  3.0 |        26.72   0.005      2.708       1.04

  97.4     601.4   0.0000   0.0    -    0  1.0 |      2353.15   0.471      1.051          1
  97.4     601.4   0.0000   0.0    -    0  3.0 |       343.29   0.069      0.874          1
  97.4     601.4   0.0000   0.0    -    1  1.0 |      2383.86   0.477      1.046      0.974
  97.4     601.4   0.0000   0.0    -    1  3.0 |       350.11   0.070      0.869      0.961

  97.4     601.4   0.0000   1.0  nor    0  1.0 |        14.65   0.003      1.112          1
  97.4     601.4   0.0000   1.0  nor    0  3.0 |        11.57   0.002      1.033          1
  97.4     601.4   0.0000   1.0  nor    1  1.0 |        14.50   0.003      1.107       1.02
  97.4     601.4   0.0000   1.0  nor    1  3.0 |        11.47   0.002      1.026       1.02

  97.4     601.4   0.0417   0.0    -    0  1.0 |      1197.29   0.239      1.218          1
  97.4     601.4   0.0417   0.0    -    0  3.0 |       285.48   0.057      0.979          1
  97.4     601.4   0.0417   0.0    -    1  1.0 |      1205.51   0.241      1.213      0.986
  97.4     601.4   0.0417   0.0    -    1  3.0 |       289.89   0.058      0.974       0.97

  97.4     601.4   0.0417   1.0  nor    0  1.0 |        20.16   0.004      1.303          1
  97.4     601.4   0.0417   1.0  nor    0  3.0 |        14.39   0.003      1.245          1
  97.4     601.4   0.0417   1.0  nor    1  1.0 |        20.13   0.004      1.297          1
  97.4     601.4   0.0417   1.0  nor    1  3.0 |        14.34   0.003      1.238       1.01

  97.4     601.4   1.0000   0.0    -    0  1.0 |        68.36   0.014      3.752          1
  97.4     601.4   1.0000   0.0    -    0  3.0 |        36.93   0.007      3.011          1
  97.4     601.4   1.0000   0.0    -    1  1.0 |        68.12   0.014      3.766       1.01
  97.4     601.4   1.0000   0.0    -    1  3.0 |        36.86   0.007      2.959          1

  97.4     601.4   1.0000   1.0  nor    0  1.0 |        60.04   0.012      3.709          1
  97.4     601.4   1.0000   1.0  nor    0  3.0 |        35.73   0.007      2.924          1
  97.4     601.4   1.0000   1.0  nor    1  1.0 |        60.68   0.012      3.727      0.979
  97.4     601.4   1.0000   1.0  nor    1  3.0 |        35.10   0.007      2.916       1.04

  97.4   30070.4   0.0000   0.0    -    0  1.0 |       416.16   0.083     11.012          1
  97.4   30070.4   0.0000   0.0    -    0  3.0 |        54.29   0.011     10.718          1
  97.4   30070.4   0.0000   0.0    -    1  1.0 |       416.42   0.083     11.004      0.999
  97.4   30070.4   0.0000   0.0    -    1  3.0 |        54.37   0.011     10.711      0.997

  97.4   30070.4   0.0000   1.0  nor    0  1.0 |       405.63   0.081     11.024          1
  97.4   30070.4   0.0000   1.0  nor    0  3.0 |        54.26   0.011     10.718          1
  97.4   30070.4   0.0000   1.0  nor    1  1.0 |       405.86   0.081     11.016      0.999
  97.4   30070.4   0.0000   1.0  nor    1  3.0 |        54.33   0.011     10.712      0.997

  97.4   30070.4   0.0417   0.0    -    0  1.0 |       414.75   0.083     11.064          1
  97.4   30070.4   0.0417   0.0    -    0  3.0 |        54.27   0.011     10.741          1
  97.4   30070.4   0.0417   0.0    -    1  1.0 |       415.05   0.083     11.056      0.999
  97.4   30070.4   0.0417   0.0    -    1  3.0 |        54.35   0.011     10.734      0.997

  97.4   30070.4   0.0417   1.0  nor    0  1.0 |       400.47   0.080     11.040          1
  97.4   30070.4   0.0417   1.0  nor    0  3.0 |        54.21   0.011     10.740          1
  97.4   30070.4   0.0417   1.0  nor    1  1.0 |       400.68   0.080     11.032      0.999
  97.4   30070.4   0.0417   1.0  nor    1  3.0 |        54.28   0.011     10.733      0.997

  97.4   30070.4   1.0000   0.0    -    0  1.0 |       231.27   0.046     18.488          1
  97.4   30070.4   1.0000   0.0    -    0  3.0 |        49.73   0.010     15.504          1
  97.4   30070.4   1.0000   0.0    -    1  1.0 |       231.49   0.046     18.480      0.998
  97.4   30070.4   1.0000   0.0    -    1  3.0 |        49.84   0.010     15.506      0.996

  97.4   30070.4   1.0000   1.0  nor    0  1.0 |       228.60   0.046     18.251          1
  97.4   30070.4   1.0000   1.0  nor    0  3.0 |        49.78   0.010     15.476          1
  97.4   30070.4   1.0000   1.0  nor    1  1.0 |       228.76   0.046     18.245      0.999
  97.4   30070.4   1.0000   1.0  nor    1  3.0 |        49.89   0.010     15.478      0.996

wrote /Users/pete/space_training/web_data/results/j2_n3d_observability.csv (144 rows) in 30.4 s
