   sep_km     dI     dv   ax   orb |     sig_rng   sig_inpl  sig_plane   pl/rng   rng/rho
      5.0  1.000   25.0  nor  1.00 |        7.80      3.118      4.933   0.6322  1.56e-03
      5.0  1.000   25.0  nor  3.00 |        6.13      1.536      2.939   0.4797  1.23e-03

     10.0  0.000    0.0    -  1.00 |   715005.86      2.907      1.462   0.0000  7.15e+01
     10.0  0.000    0.0    -  3.00 |   134017.29      1.568      0.847   0.0000  1.34e+01
     10.0  0.000    1.0  pro  1.00 |       27.12      3.833      1.643   0.0606  2.71e-03
     10.0  0.000    1.0  pro  3.00 |       13.67      1.401      1.167   0.0854  1.37e-03
     10.0  0.000    1.0  nor  1.00 |       35.49      1.782      2.179   0.0614  3.55e-03
     10.0  0.000    1.0  nor  3.00 |       23.63      1.023      0.921   0.0390  2.36e-03
     10.0  0.000    5.0  pro  1.00 |       12.71      3.990      1.694   0.1332  1.27e-03
     10.0  0.000    5.0  pro  3.00 |       10.75      1.477      1.277   0.1188  1.07e-03
     10.0  0.000    5.0  nor  1.00 |       10.79      1.781      2.206   0.2043  1.08e-03
     10.0  0.000    5.0  nor  3.00 |        9.05      0.919      0.944   0.1043  9.05e-04
     10.0  0.000   25.0  pro  1.00 |        9.09      4.106      1.700   0.1871  9.09e-04
     10.0  0.000   25.0  pro  3.00 |        9.88      1.430      1.219   0.1234  9.88e-04
     10.0  0.000   25.0  nor  1.00 |        8.94      1.962      2.434   0.2723  8.94e-04
     10.0  0.000   25.0  nor  3.00 |        6.85      0.954      1.133   0.1653  6.85e-04
     10.0  0.010    0.0    -  1.00 |     7362.85      1.786      1.540   0.0002  7.36e-01
     10.0  0.010    0.0    -  3.00 |     1469.31      1.024      0.854   0.0006  1.47e-01
     10.0  0.010    1.0  pro  1.00 |       27.08      3.831      1.653   0.0610  2.71e-03
     10.0  0.010    1.0  pro  3.00 |       13.04      1.360      1.171   0.0898  1.30e-03
     10.0  0.010    1.0  nor  1.00 |       34.77      1.785      2.213   0.0637  3.48e-03
     10.0  0.010    1.0  nor  3.00 |       28.69      0.988      0.933   0.0325  2.87e-03
     10.0  0.010    5.0  pro  1.00 |       12.69      3.987      1.707   0.1345  1.27e-03
     10.0  0.010    5.0  pro  3.00 |       10.35      1.444      1.282   0.1239  1.03e-03
     10.0  0.010    5.0  nor  1.00 |        9.90      1.790      2.222   0.2245  9.90e-04
     10.0  0.010    5.0  nor  3.00 |        9.66      0.889      0.954   0.0988  9.66e-04
     10.0  0.010   25.0  pro  1.00 |        9.09      4.103      1.738   0.1911  9.09e-04
     10.0  0.010   25.0  pro  3.00 |        9.46      1.403      1.231   0.1301  9.46e-04
     10.0  0.010   25.0  nor  1.00 |        8.78      1.980      2.425   0.2761  8.78e-04
     10.0  0.010   25.0  nor  3.00 |        7.19      0.963      1.141   0.1587  7.19e-04
     10.0  0.050    0.0    -  1.00 |     2296.84      1.876      1.686   0.0007  2.30e-01
     10.0  0.050    0.0    -  3.00 |      794.97      0.889      0.917   0.0012  7.95e-02
     10.0  0.050    1.0  pro  1.00 |       26.71      3.833      1.837   0.0688  2.67e-03
     10.0  0.050    1.0  pro  3.00 |        8.29      1.061      1.257   0.1516  8.29e-04
     10.0  0.050    1.0  nor  1.00 |       42.91      1.841      2.833   0.0660  4.29e-03
     10.0  0.050    1.0  nor  3.00 |       42.44      0.820      1.077   0.0254  4.24e-03
     10.0  0.050    5.0  pro  1.00 |       12.31      3.965      1.942   0.1578  1.23e-03
     10.0  0.050    5.0  pro  3.00 |        7.81      1.156      1.388   0.1777  7.81e-04
     10.0  0.050    5.0  nor  1.00 |        8.54      1.853      2.844   0.3330  8.54e-04
     10.0  0.050    5.0  nor  3.00 |       12.14      0.810      1.092   0.0899  1.21e-03
     10.0  0.050   25.0  pro  1.00 |        9.33      4.074      2.350   0.2519  9.33e-04
     10.0  0.050   25.0  pro  3.00 |        6.90      1.191      1.388   0.2013  6.90e-04
     10.0  0.050   25.0  nor  1.00 |        7.69      2.050      2.934   0.3816  7.69e-04
     10.0  0.050   25.0  nor  3.00 |        8.10      0.961      1.239   0.1530  8.10e-04
     10.0  0.250    0.0    -  1.00 |      659.20      2.565      2.791   0.0042  6.59e-02
     10.0  0.250    0.0    -  3.00 |      323.43      0.944      1.537   0.0048  3.23e-02
     10.0  0.250    1.0  pro  1.00 |       30.54      4.580      3.072   0.1006  3.05e-03
     10.0  0.250    1.0  pro  3.00 |        5.29      1.218      1.952   0.3688  5.29e-04
     10.0  0.250    1.0  nor  1.00 |       86.43      2.464      5.709   0.0661  8.64e-03
     10.0  0.250    1.0  nor  3.00 |      102.24      0.955      2.201   0.0215  1.02e-02
     10.0  0.250    5.0  pro  1.00 |       13.11      4.664      3.167   0.2415  1.31e-03
     10.0  0.250    5.0  pro  3.00 |        6.27      1.414      2.270   0.3620  6.27e-04
     10.0  0.250    5.0  nor  1.00 |       15.31      2.507      5.875   0.3837  1.53e-03
     10.0  0.250    5.0  nor  3.00 |       24.16      0.999      2.177   0.0901  2.42e-03
     10.0  0.250   25.0  pro  1.00 |       10.63      4.784      4.343   0.4086  1.06e-03
     10.0  0.250   25.0  pro  3.00 |        7.21      1.540      2.347   0.3256  7.21e-04
     10.0  0.250   25.0  nor  1.00 |        7.34      2.747      5.980   0.8151  7.34e-04
     10.0  0.250   25.0  nor  3.00 |        9.22      1.146      2.198   0.2383  9.22e-04
     10.0  1.000    0.0    -  1.00 |      142.11      4.073      5.143   0.0362  1.42e-02
     10.0  1.000    0.0    -  3.00 |       75.73      1.924      2.911   0.0384  7.57e-03
     10.0  1.000    1.0  pro  1.00 |       47.92      6.708      5.455   0.1138  4.79e-03
     10.0  1.000    1.0  pro  3.00 |        8.32      2.361      3.609   0.4335  8.32e-04
     10.0  1.000    1.0  nor  1.00 |       99.00      4.034      7.134   0.0721  9.90e-03
     10.0  1.000    1.0  nor  3.00 |       71.69      1.931      3.245   0.0453  7.17e-03
     10.0  1.000    5.0  pro  1.00 |       19.44      6.922      5.527   0.2843  1.94e-03
     10.0  1.000    5.0  pro  3.00 |        8.82      2.799      4.174   0.4731  8.82e-04
     10.0  1.000    5.0  nor  1.00 |       28.30      4.073      8.914   0.3150  2.83e-03
     10.0  1.000    5.0  nor  3.00 |       39.15      1.956      4.177   0.1067  3.92e-03
     10.0  1.000   25.0  pro  1.00 |       14.22      7.019      6.856   0.4821  1.42e-03
     10.0  1.000   25.0  pro  3.00 |       10.48      3.038      4.412   0.4208  1.05e-03
     10.0  1.000   25.0  nor  1.00 |       11.20      4.453      9.150   0.8170  1.12e-03
     10.0  1.000   25.0  nor  3.00 |       12.41      2.086      4.367   0.3520  1.24e-03

     50.0  0.000    0.0    -  1.00 |   218040.48     16.373      7.309   0.0000  4.36e+00
     50.0  0.000    0.0    -  3.00 |    29238.81      7.463      4.235   0.0001  5.85e-01
     50.0  0.000    1.0  pro  1.00 |      526.84     18.893      7.647   0.0145  1.05e-02
     50.0  0.000    1.0  pro  3.00 |      179.55      5.910      4.892   0.0272  3.59e-03
