   sep_km     dI     dv   ax   orb |     sig_rng   sig_inpl  sig_plane   pl/rng   rng/rho
   1000.0  0.010    1.0  nor  1.00 |    15129.87    329.211    146.090   0.0097  1.51e-02
   1000.0  0.010    1.0  nor  3.00 |     3000.48    148.775     84.627   0.0282  3.00e-03
   1000.0  0.010    5.0  pro  1.00 |    14666.45    349.652    148.085   0.0101  1.47e-02
   1000.0  0.010    5.0  pro  3.00 |     3124.78    149.215     88.744   0.0284  3.13e-03
   1000.0  0.010    5.0  nor  1.00 |    14967.33    326.538    147.628   0.0099  1.50e-02
   1000.0  0.010    5.0  nor  3.00 |     2999.15    148.723     84.632   0.0282  3.00e-03
   1000.0  0.010   25.0  pro  1.00 |    12724.24    401.049    154.299   0.0121  1.27e-02
   1000.0  0.010   25.0  pro  3.00 |     3211.99    142.383    100.148   0.0312  3.21e-03
   1000.0  0.010   25.0  nor  1.00 |    12255.50    283.293    172.837   0.0141  1.23e-02
   1000.0  0.010   25.0  nor  3.00 |     2961.69    147.279     84.779   0.0286  2.96e-03
   1000.0  0.050    0.0    -  1.00 |    15099.71    328.661    146.226   0.0097  1.51e-02
   1000.0  0.050    0.0    -  3.00 |     2996.06    148.642     84.645   0.0283  3.00e-03
   1000.0  0.050    1.0  pro  1.00 |    15006.61    332.987    146.645   0.0098  1.50e-02
   1000.0  0.050    1.0  pro  3.00 |     3024.54    148.832     85.527   0.0283  3.03e-03
   1000.0  0.050    1.0  nor  1.00 |    15073.64    328.222    146.079   0.0097  1.51e-02
   1000.0  0.050    1.0  nor  3.00 |     2996.33    148.650     84.643   0.0282  3.00e-03
   1000.0  0.050    5.0  pro  1.00 |    14631.54    348.959    148.231   0.0101  1.46e-02
   1000.0  0.050    5.0  pro  3.00 |     3120.03    149.081     88.761   0.0284  3.12e-03
   1000.0  0.050    5.0  nor  1.00 |    14851.73    324.545    146.917   0.0099  1.49e-02
   1000.0  0.050    5.0  nor  3.00 |     2996.06    148.632     84.641   0.0283  3.00e-03
   1000.0  0.050   25.0  pro  1.00 |    12705.47    400.545    154.394   0.0122  1.27e-02
   1000.0  0.050   25.0  pro  3.00 |     3207.68    142.295    100.161   0.0312  3.21e-03
   1000.0  0.050   25.0  nor  1.00 |    12026.66    279.552    169.643   0.0141  1.20e-02
   1000.0  0.050   25.0  nor  3.00 |     2963.75    147.356     84.755   0.0286  2.97e-03
   1000.0  0.250    0.0    -  1.00 |    14187.90    312.501    149.786   0.0106  1.42e-02
   1000.0  0.250    0.0    -  3.00 |     2892.42    145.513     85.061   0.0294  2.90e-03
   1000.0  0.250    1.0  pro  1.00 |    14118.94    316.884    150.133   0.0106  1.41e-02
   1000.0  0.250    1.0  pro  3.00 |     2918.96    145.695     85.939   0.0294  2.92e-03
   1000.0  0.250    1.0  nor  1.00 |    14101.08    311.057    148.867   0.0106  1.41e-02
   1000.0  0.250    1.0  nor  3.00 |     2893.87    145.559     85.052   0.0294  2.90e-03
   1000.0  0.250    5.0  pro  1.00 |    13835.53    333.233    151.448   0.0109  1.38e-02
   1000.0  0.250    5.0  pro  3.00 |     3008.53    145.969     89.156   0.0296  3.01e-03
   1000.0  0.250    5.0  nor  1.00 |    13676.34    304.087    146.564   0.0107  1.37e-02
   1000.0  0.250    5.0  nor  3.00 |     2898.51    145.699     85.019   0.0293  2.90e-03
   1000.0  0.250   25.0  pro  1.00 |    12263.03    388.720    156.589   0.0128  1.23e-02
   1000.0  0.250   25.0  pro  3.00 |     3105.51    140.203    100.463   0.0323  3.11e-03
   1000.0  0.250   25.0  nor  1.00 |    10750.63    258.708    157.129   0.0146  1.08e-02
   1000.0  0.250   25.0  nor  3.00 |     2893.27    145.303     84.971   0.0294  2.90e-03
   1000.0  1.000    0.0    -  1.00 |     8614.60    220.048    166.886   0.0194  8.62e-03
   1000.0  1.000    0.0    -  3.00 |     2070.68    122.151     88.019   0.0425  2.07e-03
   1000.0  1.000    1.0  pro  1.00 |     8625.80    223.416    167.157   0.0194  8.63e-03
   1000.0  1.000    1.0  pro  3.00 |     2082.74    122.330     88.862   0.0427  2.08e-03
   1000.0  1.000    1.0  nor  1.00 |     8544.32    219.136    165.384   0.0194  8.55e-03
   1000.0  1.000    1.0  nor  3.00 |     2073.49    122.224     88.006   0.0424  2.08e-03
   1000.0  1.000    5.0  pro  1.00 |     8663.30    236.690    168.179   0.0194  8.67e-03
   1000.0  1.000    5.0  pro  3.00 |     2125.89    122.913     91.962   0.0433  2.13e-03
   1000.0  1.000    5.0  nor  1.00 |     8259.19    215.506    160.073   0.0194  8.27e-03
   1000.0  1.000    5.0  nor  3.00 |     2084.38    122.501     87.956   0.0422  2.09e-03
   1000.0  1.000   25.0  pro  1.00 |     8650.61    295.497    171.916   0.0199  8.66e-03
   1000.0  1.000   25.0  pro  3.00 |     2232.73    123.578    102.878   0.0461  2.23e-03
   1000.0  1.000   25.0  nor  1.00 |     6868.79    199.320    148.241   0.0216  6.88e-03
   1000.0  1.000   25.0  nor  3.00 |     2129.80    123.498     87.753   0.0412  2.13e-03

   5000.0  0.000    0.0    -  1.00 |     7232.31   1611.383    714.442   0.0988  1.48e-03
   5000.0  0.000    0.0    -  3.00 |     2061.29    727.774    413.961   0.2008  4.22e-04
   5000.0  0.000    1.0  pro  1.00 |     7239.65   1611.899    714.895   0.0987  1.48e-03
   5000.0  0.000    1.0  pro  3.00 |     2062.55    728.238    414.826   0.2011  4.22e-04
   5000.0  0.000    1.0  nor  1.00 |     7232.31   1611.383    714.443   0.0988  1.48e-03
   5000.0  0.000    1.0  nor  3.00 |     2061.29    727.774    413.961   0.2008  4.22e-04
   5000.0  0.000    5.0  pro  1.00 |     7268.97   1613.953    716.685   0.0986  1.49e-03
   5000.0  0.000    5.0  pro  3.00 |     2067.51    730.051    418.225   0.2023  4.23e-04
   5000.0  0.000    5.0  nor  1.00 |     7232.32   1611.384    714.444   0.0988  1.48e-03
   5000.0  0.000    5.0  nor  3.00 |     2061.29    727.775    413.962   0.2008  4.22e-04
   5000.0  0.000   25.0  pro  1.00 |     7413.91   1624.018    725.139   0.0978  1.52e-03
   5000.0  0.000   25.0  pro  3.00 |     2089.94    738.211    433.864   0.2076  4.28e-04
   5000.0  0.000   25.0  nor  1.00 |     7232.58   1611.401    714.478   0.0988  1.48e-03
   5000.0  0.000   25.0  nor  3.00 |     2061.32    727.786    413.998   0.2008  4.22e-04
   5000.0  0.010    0.0    -  1.00 |     7232.31   1611.383    714.443   0.0988  1.48e-03
   5000.0  0.010    0.0    -  3.00 |     2061.29    727.774    413.961   0.2008  4.22e-04
   5000.0  0.010    1.0  pro  1.00 |     7239.65   1611.899    714.896   0.0987  1.48e-03
   5000.0  0.010    1.0  pro  3.00 |     2062.55    728.238    414.826   0.2011  4.22e-04
   5000.0  0.010    1.0  nor  1.00 |     7232.31   1611.383    714.443   0.0988  1.48e-03
   5000.0  0.010    1.0  nor  3.00 |     2061.29    727.774    413.961   0.2008  4.22e-04
   5000.0  0.010    5.0  pro  1.00 |     7268.97   1613.953    716.686   0.0986  1.49e-03
   5000.0  0.010    5.0  pro  3.00 |     2067.51    730.051    418.225   0.2023  4.23e-04
   5000.0  0.010    5.0  nor  1.00 |     7232.32   1611.384    714.444   0.0988  1.48e-03
   5000.0  0.010    5.0  nor  3.00 |     2061.29    727.775    413.962   0.2008  4.22e-04
   5000.0  0.010   25.0  pro  1.00 |     7413.91   1624.018    725.139   0.0978  1.52e-03
   5000.0  0.010   25.0  pro  3.00 |     2089.94    738.211    433.864   0.2076  4.28e-04
   5000.0  0.010   25.0  nor  1.00 |     7232.59   1611.401    714.476   0.0988  1.48e-03
   5000.0  0.010   25.0  nor  3.00 |     2061.32    727.785    413.998   0.2008  4.22e-04
   5000.0  0.050    0.0    -  1.00 |     7232.29   1611.380    714.457   0.0988  1.48e-03
   5000.0  0.050    0.0    -  3.00 |     2061.28    727.773    413.963   0.2008  4.22e-04
   5000.0  0.050    1.0  pro  1.00 |     7239.64   1611.896    714.909   0.0987  1.48e-03
   5000.0  0.050    1.0  pro  3.00 |     2062.55    728.237    414.828   0.2011  4.22e-04
   5000.0  0.050    1.0  nor  1.00 |     7232.29   1611.380    714.456   0.0988  1.48e-03
   5000.0  0.050    1.0  nor  3.00 |     2061.28    727.773    413.963   0.2008  4.22e-04
   5000.0  0.050    5.0  pro  1.00 |     7268.95   1613.950    716.699   0.0986  1.49e-03
   5000.0  0.050    5.0  pro  3.00 |     2067.51    730.050    418.227   0.2023  4.23e-04
   5000.0  0.050    5.0  nor  1.00 |     7232.31   1611.381    714.456   0.0988  1.48e-03
   5000.0  0.050    5.0  nor  3.00 |     2061.28    727.773    413.965   0.2008  4.22e-04
   5000.0  0.050   25.0  pro  1.00 |     7413.89   1624.015    725.153   0.0978  1.52e-03
   5000.0  0.050   25.0  pro  3.00 |     2089.93    738.210    433.866   0.2076  4.28e-04
   5000.0  0.050   25.0  nor  1.00 |     7232.58   1611.400    714.482   0.0988  1.48e-03
   5000.0  0.050   25.0  nor  3.00 |     2061.31    727.783    414.002   0.2008  4.22e-04
   5000.0  0.250    0.0    -  1.00 |     7231.83   1611.297    714.793   0.0988  1.48e-03
   5000.0  0.250    0.0    -  3.00 |     2061.16    727.747    414.022   0.2009  4.22e-04
   5000.0  0.250    1.0  pro  1.00 |     7239.17   1611.813    715.247   0.0988  1.48e-03
   5000.0  0.250    1.0  pro  3.00 |     2062.43    728.211    414.887   0.2012  4.22e-04
   5000.0  0.250    1.0  nor  1.00 |     7231.83   1611.297    714.791   0.0988  1.48e-03
   5000.0  0.250    1.0  nor  3.00 |     2061.16    727.746    414.022   0.2009  4.22e-04
   5000.0  0.250    5.0  pro  1.00 |     7268.48   1613.866    717.038   0.0987  1.49e-03
   5000.0  0.250    5.0  pro  3.00 |     2067.39    730.024    418.285   0.2023  4.23e-04
   5000.0  0.250    5.0  nor  1.00 |     7231.86   1611.300    714.785   0.0988  1.48e-03
   5000.0  0.250    5.0  nor  3.00 |     2061.16    727.745    414.025   0.2009  4.22e-04
   5000.0  0.250   25.0  pro  1.00 |     7413.40   1623.930    725.498   0.0979  1.52e-03
   5000.0  0.250   25.0  pro  3.00 |     2089.82    738.187    433.920   0.2076  4.28e-04
   5000.0  0.250   25.0  nor  1.00 |     7232.20   1611.328    714.778   0.0988  1.48e-03
   5000.0  0.250   25.0  nor  3.00 |     2061.17    727.748    414.069   0.2009  4.22e-04
   5000.0  1.000    0.0    -  1.00 |     7224.65   1610.005    720.025   0.0997  1.48e-03
   5000.0  1.000    0.0    -  3.00 |     2059.24    727.336    414.932   0.2015  4.21e-04
   5000.0  1.000    1.0  pro  1.00 |     7231.98   1610.519    720.483   0.0996  1.48e-03
   5000.0  1.000    1.0  pro  3.00 |     2060.52    727.803    415.793   0.2018  4.22e-04
   5000.0  1.000    1.0  nor  1.00 |     7224.66   1610.007    720.017   0.0997  1.48e-03
   5000.0  1.000    1.0  nor  3.00 |     2059.24    727.335    414.934   0.2015  4.21e-04
   5000.0  1.000    5.0  pro  1.00 |     7261.22   1612.568    722.295   0.0995  1.49e-03
   5000.0  1.000    5.0  pro  3.00 |     2065.51    729.626    419.178   0.2029  4.23e-04
   5000.0  1.000    5.0  nor  1.00 |     7224.73   1610.016    719.986   0.0997  1.48e-03
   5000.0  1.000    5.0  nor  3.00 |     2059.22    727.328    414.942   0.2015  4.21e-04
   5000.0  1.000   25.0  pro  1.00 |     7405.81   1622.607    730.860   0.0987  1.52e-03
   5000.0  1.000   25.0  pro  3.00 |     2088.06    737.830    434.754   0.2082  4.27e-04
   5000.0  1.000   25.0  nor  1.00 |     7225.29   1610.077    719.860   0.0996  1.48e-03
   5000.0  1.000   25.0  nor  3.00 |     2059.16    727.305    415.010   0.2015  4.21e-04

  13000.0  0.000    0.0    -  1.00 |     4722.41   3657.656   1621.702   0.3434  4.26e-04
  13000.0  0.000    0.0    -  3.00 |     1436.57   1651.964    939.643   0.6541  1.29e-04
  13000.0  0.000    1.0  pro  1.00 |     4723.90   3658.095   1622.090   0.3434  4.26e-04
  13000.0  0.000    1.0  pro  3.00 |     1436.76   1652.130    940.235   0.6544  1.30e-04
  13000.0  0.000    1.0  nor  1.00 |     4722.41   3657.656   1621.702   0.3434  4.26e-04
  13000.0  0.000    1.0  nor  3.00 |     1436.57   1651.964    939.643   0.6541  1.29e-04
  13000.0  0.000    5.0  pro  1.00 |     4729.84   3659.845   1623.636   0.3433  4.26e-04
  13000.0  0.000    5.0  pro  3.00 |     1437.54   1652.788    942.582   0.6557  1.30e-04
  13000.0  0.000    5.0  nor  1.00 |     4722.42   3657.657   1621.703   0.3434  4.26e-04
  13000.0  0.000    5.0  nor  3.00 |     1436.57   1651.964    939.644   0.6541  1.29e-04
  13000.0  0.000   25.0  pro  1.00 |     4759.28   3668.490   1631.190   0.3427  4.29e-04
  13000.0  0.000   25.0  pro  3.00 |     1441.22   1655.927    953.827   0.6618  1.30e-04
  13000.0  0.000   25.0  nor  1.00 |     4722.47   3657.674   1621.720   0.3434  4.26e-04
  13000.0  0.000   25.0  nor  3.00 |     1436.58   1651.970    939.667   0.6541  1.29e-04
  13000.0  0.010    0.0    -  1.00 |     4722.41   3657.656   1621.702   0.3434  4.26e-04
  13000.0  0.010    0.0    -  3.00 |     1436.57   1651.964    939.643   0.6541  1.29e-04
  13000.0  0.010    1.0  pro  1.00 |     4723.90   3658.095   1622.090   0.3434  4.26e-04
  13000.0  0.010    1.0  pro  3.00 |     1436.76   1652.130    940.235   0.6544  1.30e-04
  13000.0  0.010    1.0  nor  1.00 |     4722.41   3657.656   1621.702   0.3434  4.26e-04
  13000.0  0.010    1.0  nor  3.00 |     1436.57   1651.964    939.643   0.6541  1.29e-04
  13000.0  0.010    5.0  pro  1.00 |     4729.84   3659.845   1623.636   0.3433  4.26e-04
  13000.0  0.010    5.0  pro  3.00 |     1437.54   1652.788    942.582   0.6557  1.30e-04
  13000.0  0.010    5.0  nor  1.00 |     4722.42   3657.657   1621.703   0.3434  4.26e-04
  13000.0  0.010    5.0  nor  3.00 |     1436.57   1651.964    939.644   0.6541  1.29e-04
  13000.0  0.010   25.0  pro  1.00 |     4759.28   3668.490   1631.190   0.3427  4.29e-04
  13000.0  0.010   25.0  pro  3.00 |     1441.22   1655.927    953.827   0.6618  1.30e-04
  13000.0  0.010   25.0  nor  1.00 |     4722.47   3657.674   1621.720   0.3434  4.26e-04
  13000.0  0.010   25.0  nor  3.00 |     1436.58   1651.970    939.667   0.6541  1.29e-04
  13000.0  0.050    0.0    -  1.00 |     4722.41   3657.656   1621.703   0.3434  4.26e-04
  13000.0  0.050    0.0    -  3.00 |     1436.57   1651.964    939.643   0.6541  1.29e-04
  13000.0  0.050    1.0  pro  1.00 |     4723.90   3658.094   1622.091   0.3434  4.26e-04
  13000.0  0.050    1.0  pro  3.00 |     1436.76   1652.130    940.235   0.6544  1.30e-04
  13000.0  0.050    1.0  nor  1.00 |     4722.41   3657.656   1621.703   0.3434  4.26e-04
  13000.0  0.050    1.0  nor  3.00 |     1436.57   1651.964    939.643   0.6541  1.29e-04
  13000.0  0.050    5.0  pro  1.00 |     4729.84   3659.844   1623.637   0.3433  4.26e-04
  13000.0  0.050    5.0  pro  3.00 |     1437.54   1652.788    942.583   0.6557  1.30e-04
  13000.0  0.050    5.0  nor  1.00 |     4722.41   3657.656   1621.704   0.3434  4.26e-04
  13000.0  0.050    5.0  nor  3.00 |     1436.57   1651.964    939.644   0.6541  1.29e-04
  13000.0  0.050   25.0  pro  1.00 |     4759.27   3668.489   1631.191   0.3427  4.29e-04
  13000.0  0.050   25.0  pro  3.00 |     1441.22   1655.927    953.827   0.6618  1.30e-04
  13000.0  0.050   25.0  nor  1.00 |     4722.47   3657.674   1621.722   0.3434  4.26e-04
  13000.0  0.050   25.0  nor  3.00 |     1436.57   1651.970    939.668   0.6541  1.29e-04
  13000.0  0.250    0.0    -  1.00 |     4722.36   3657.646   1621.725   0.3434  4.26e-04
  13000.0  0.250    0.0    -  3.00 |     1436.56   1651.964    939.647   0.6541  1.29e-04
  13000.0  0.250    1.0  pro  1.00 |     4723.85   3658.084   1622.113   0.3434  4.26e-04
  13000.0  0.250    1.0  pro  3.00 |     1436.75   1652.130    940.239   0.6544  1.30e-04
  13000.0  0.250    1.0  nor  1.00 |     4722.36   3657.646   1621.725   0.3434  4.26e-04
  13000.0  0.250    1.0  nor  3.00 |     1436.56   1651.964    939.647   0.6541  1.29e-04
  13000.0  0.250    5.0  pro  1.00 |     4729.79   3659.834   1623.659   0.3433  4.26e-04
  13000.0  0.250    5.0  pro  3.00 |     1437.52   1652.788    942.587   0.6557  1.30e-04
  13000.0  0.250    5.0  nor  1.00 |     4722.36   3657.647   1621.727   0.3434  4.26e-04
  13000.0  0.250    5.0  nor  3.00 |     1436.56   1651.964    939.649   0.6541  1.29e-04
  13000.0  0.250   25.0  pro  1.00 |     4759.22   3668.479   1631.214   0.3427  4.29e-04
  13000.0  0.250   25.0  pro  3.00 |     1441.21   1655.927    953.831   0.6618  1.30e-04
  13000.0  0.250   25.0  nor  1.00 |     4722.42   3657.664   1621.747   0.3434  4.26e-04
  13000.0  0.250   25.0  nor  3.00 |     1436.56   1651.971    939.673   0.6541  1.29e-04
  13000.0  1.000    0.0    -  1.00 |     4721.52   3657.493   1622.071   0.3435  4.26e-04
  13000.0  1.000    0.0    -  3.00 |     1436.37   1651.963    939.710   0.6542  1.29e-04
  13000.0  1.000    1.0  pro  1.00 |     4723.01   3657.932   1622.460   0.3435  4.26e-04
  13000.0  1.000    1.0  pro  3.00 |     1436.57   1652.129    940.302   0.6545  1.29e-04
  13000.0  1.000    1.0  nor  1.00 |     4721.52   3657.493   1622.072   0.3435  4.26e-04
  13000.0  1.000    1.0  nor  3.00 |     1436.37   1651.963    939.711   0.6542  1.29e-04
  13000.0  1.000    5.0  pro  1.00 |     4728.95   3659.681   1624.006   0.3434  4.26e-04
  13000.0  1.000    5.0  pro  3.00 |     1437.34   1652.787    942.649   0.6558  1.30e-04
  13000.0  1.000    5.0  nor  1.00 |     4721.53   3657.494   1622.075   0.3435  4.26e-04
  13000.0  1.000    5.0  nor  3.00 |     1436.37   1651.964    939.713   0.6542  1.29e-04
  13000.0  1.000   25.0  pro  1.00 |     4758.38   3668.324   1631.563   0.3429  4.29e-04
  13000.0  1.000   25.0  pro  3.00 |     1441.03   1655.927    953.889   0.6619  1.30e-04
  13000.0  1.000   25.0  nor  1.00 |     4721.59   3657.511   1622.105   0.3436  4.26e-04
  13000.0  1.000   25.0  nor  3.00 |     1436.38   1651.972    939.741   0.6542  1.29e-04

wrote /Users/pete/space_training/web_data/results/n3d_obs_map.csv (1225 rows)

wide envelope (a = 12 000 km)
  e=0.00 sep=    10.0 dI= 0.00 dv=  0.0     -> rng  1036376.59 m inpl      0.97 plane      0.78 (pl/rng 0.0000)
  e=0.00 sep=    10.0 dI= 0.00 dv= 25.0 pro -> rng        5.43 m inpl      2.12 plane      0.87 (pl/rng 0.1595)
  e=0.00 sep=    10.0 dI= 0.00 dv= 25.0 nor -> rng        6.19 m inpl      1.04 plane      1.17 (pl/rng 0.1883)
  e=0.00 sep=    10.0 dI= 0.10 dv=  0.0     -> rng      770.60 m inpl      0.79 plane      1.25 (pl/rng 0.0016)
  e=0.00 sep=    10.0 dI= 0.10 dv= 25.0 pro -> rng        5.11 m inpl      2.49 plane      1.86 (pl/rng 0.3649)
  e=0.00 sep=    10.0 dI= 0.10 dv= 25.0 nor -> rng        3.54 m inpl      0.92 plane      1.62 (pl/rng 0.4576)
  e=0.00 sep=    10.0 dI= 1.00 dv=  0.0     -> rng       71.33 m inpl      2.47 plane      3.60 (pl/rng 0.0505)
  e=0.00 sep=    10.0 dI= 1.00 dv= 25.0 pro -> rng       10.15 m inpl      5.69 plane      5.07 (pl/rng 0.4990)
  e=0.00 sep=    10.0 dI= 1.00 dv= 25.0 nor -> rng       10.24 m inpl      2.29 plane      4.85 (pl/rng 0.4735)
  e=0.00 sep=  1000.0 dI= 0.00 dv=  0.0     -> rng    10230.25 m inpl    130.23 plane     77.95 (pl/rng 0.0076)
  e=0.00 sep=  1000.0 dI= 0.00 dv= 25.0 pro -> rng     2291.59 m inpl    194.47 plane     92.72 (pl/rng 0.0405)
  e=0.00 sep=  1000.0 dI= 0.00 dv= 25.0 nor -> rng     4140.06 m inpl     96.30 plane     78.78 (pl/rng 0.0190)
  e=0.00 sep=  1000.0 dI= 0.10 dv=  0.0     -> rng     9700.79 m inpl    127.16 plane     78.44 (pl/rng 0.0081)
  e=0.00 sep=  1000.0 dI= 0.10 dv= 25.0 pro -> rng     2283.78 m inpl    194.15 plane     92.75 (pl/rng 0.0406)
  e=0.00 sep=  1000.0 dI= 0.10 dv= 25.0 nor -> rng     3766.99 m inpl     95.14 plane     79.10 (pl/rng 0.0210)
  e=0.00 sep=  1000.0 dI= 1.00 dv=  0.0     -> rng     3239.53 m inpl     96.93 plane     83.35 (pl/rng 0.0257)
  e=0.00 sep=  1000.0 dI= 1.00 dv= 25.0 pro -> rng     1796.14 m inpl    175.84 plane     95.07 (pl/rng 0.0529)
  e=0.00 sep=  1000.0 dI= 1.00 dv= 25.0 nor -> rng     2057.63 m inpl     90.59 plane     82.06 (pl/rng 0.0399)
  e=0.00 sep= 12000.0 dI= 0.00 dv=  0.0     -> rng     3298.14 m inpl   1498.92 plane    897.19 (pl/rng 0.2720)
  e=0.00 sep= 12000.0 dI= 0.00 dv= 25.0 pro -> rng     3359.50 m inpl   1525.53 plane    919.99 (pl/rng 0.2738)
  e=0.00 sep= 12000.0 dI= 0.00 dv= 25.0 nor -> rng     3298.25 m inpl   1498.97 plane    897.25 (pl/rng 0.2720)
  e=0.00 sep= 12000.0 dI= 0.10 dv=  0.0     -> rng     3298.12 m inpl   1498.91 plane    897.20 (pl/rng 0.2720)
  e=0.00 sep= 12000.0 dI= 0.10 dv= 25.0 pro -> rng     3359.49 m inpl   1525.53 plane    920.00 (pl/rng 0.2739)
  e=0.00 sep= 12000.0 dI= 0.10 dv= 25.0 nor -> rng     3298.25 m inpl   1498.97 plane    897.25 (pl/rng 0.2720)
  e=0.00 sep= 12000.0 dI= 1.00 dv=  0.0     -> rng     3296.85 m inpl   1498.77 plane    898.04 (pl/rng 0.2724)
  e=0.00 sep= 12000.0 dI= 1.00 dv= 25.0 pro -> rng     3358.28 m inpl   1525.39 plane    920.80 (pl/rng 0.2742)
  e=0.00 sep= 12000.0 dI= 1.00 dv= 25.0 nor -> rng     3297.12 m inpl   1498.82 plane    898.05 (pl/rng 0.2724)
  e=0.30 sep=    10.0 dI= 0.00 dv=  0.0     -> rng     9826.18 m inpl      0.98 plane      0.27 (pl/rng 0.0000)
  e=0.30 sep=    10.0 dI= 0.00 dv= 25.0 pro -> rng        3.52 m inpl      1.34 plane      0.25 (pl/rng 0.0724)
  e=0.30 sep=    10.0 dI= 0.00 dv= 25.0 nor -> rng        5.15 m inpl      0.81 plane      0.51 (pl/rng 0.0998)
  e=0.30 sep=    10.0 dI= 0.10 dv=  0.0     -> rng      557.16 m inpl      0.61 plane      0.79 (pl/rng 0.0014)
  e=0.30 sep=    10.0 dI= 0.10 dv= 25.0 pro -> rng        6.08 m inpl      2.00 plane      1.88 (pl/rng 0.3102)
  e=0.30 sep=    10.0 dI= 0.10 dv= 25.0 nor -> rng        4.95 m inpl      0.96 plane      2.52 (pl/rng 0.5082)
  e=0.30 sep=    10.0 dI= 1.00 dv=  0.0     -> rng       52.16 m inpl      2.22 plane      2.04 (pl/rng 0.0392)
  e=0.30 sep=    10.0 dI= 1.00 dv= 25.0 pro -> rng        9.49 m inpl      5.14 plane      4.24 (pl/rng 0.4463)
  e=0.30 sep=    10.0 dI= 1.00 dv= 25.0 nor -> rng        8.78 m inpl      1.95 plane      7.00 (pl/rng 0.7975)
  e=0.30 sep=  1000.0 dI= 0.00 dv=  0.0     -> rng    10717.45 m inpl    129.92 plane     27.04 (pl/rng 0.0025)
  e=0.30 sep=  1000.0 dI= 0.00 dv= 25.0 pro -> rng     1234.30 m inpl    121.54 plane     29.40 (pl/rng 0.0238)
  e=0.30 sep=  1000.0 dI= 0.00 dv= 25.0 nor -> rng     1145.24 m inpl     52.18 plane     33.03 (pl/rng 0.0288)
  e=0.30 sep=  1000.0 dI= 0.10 dv=  0.0     -> rng     8338.87 m inpl    109.83 plane     28.93 (pl/rng 0.0035)
  e=0.30 sep=  1000.0 dI= 0.10 dv= 25.0 pro -> rng     1223.26 m inpl    121.12 plane     29.49 (pl/rng 0.0241)
  e=0.30 sep=  1000.0 dI= 0.10 dv= 25.0 nor -> rng     1046.41 m inpl     53.58 plane     31.61 (pl/rng 0.0302)
  e=0.30 sep=  1000.0 dI= 1.00 dv=  0.0     -> rng     2222.62 m inpl     69.88 plane     39.42 (pl/rng 0.0177)
  e=0.30 sep=  1000.0 dI= 1.00 dv= 25.0 pro -> rng      785.59 m inpl    107.07 plane     34.35 (pl/rng 0.0437)
  e=0.30 sep=  1000.0 dI= 1.00 dv= 25.0 nor -> rng      895.71 m inpl     55.71 plane     31.72 (pl/rng 0.0354)
  e=0.30 sep= 12000.0 dI= 0.00 dv=  0.0     -> rng     4745.41 m inpl   1487.88 plane    303.37 (pl/rng 0.0639)
  e=0.30 sep= 12000.0 dI= 0.00 dv= 25.0 pro -> rng     4903.06 m inpl   1532.71 plane    309.30 (pl/rng 0.0631)
  e=0.30 sep= 12000.0 dI= 0.00 dv= 25.0 nor -> rng     4744.79 m inpl   1487.79 plane    303.46 (pl/rng 0.0640)
  e=0.30 sep= 12000.0 dI= 0.10 dv=  0.0     -> rng     4745.05 m inpl   1487.80 plane    303.43 (pl/rng 0.0639)
  e=0.30 sep= 12000.0 dI= 0.10 dv= 25.0 pro -> rng     4902.73 m inpl   1532.63 plane    309.36 (pl/rng 0.0631)
  e=0.30 sep= 12000.0 dI= 0.10 dv= 25.0 nor -> rng     4744.73 m inpl   1487.71 plane    303.42 (pl/rng 0.0639)
  e=0.30 sep= 12000.0 dI= 1.00 dv=  0.0     -> rng     4710.57 m inpl   1479.59 plane    309.11 (pl/rng 0.0656)
  e=0.30 sep= 12000.0 dI= 1.00 dv= 25.0 pro -> rng     4869.92 m inpl   1524.67 plane    315.18 (pl/rng 0.0647)
  e=0.30 sep= 12000.0 dI= 1.00 dv= 25.0 nor -> rng     4712.82 m inpl   1479.62 plane    308.29 (pl/rng 0.0654)
wrote /Users/pete/space_training/web_data/results/n3d_obs_map_wide.csv (162 rows)

1225 + 162 rows in 346.9 s
