LEO 500 km, rho0 = 5 km, i_t = 51.6 deg, sigma_beta = 1 mrad, 60 s cadence
box: 5 km / 1 m/s   plane box: 0.0417 deg pos (5.00 km) / 0.0075 deg vel

 v_tol      da_m   dI_deg    dv      axis  orb |     sig_rng    /box  sig_vrng   /vbox sig_plane  /plbox       gain
   1.0     601.4   0.2500   1.0       nor  3.0 |       31.58   0.006    0.0053   0.005     2.319  0.0005       19.2
   1.0     601.4   0.2500   1.0  perp_los  1.0 |       30.50   0.006    0.0083   0.008     2.033  0.0004       96.4
   1.0     601.4   0.2500   1.0  perp_los  3.0 |        8.54   0.002    0.0010   0.001     1.463  0.0003        262
   1.0     601.4   1.0000   0.0         -  1.0 |       68.36   0.014    0.0177   0.018     3.752  0.0008          1
   1.0     601.4   1.0000   0.0         -  3.0 |       36.93   0.007    0.0096   0.010     3.011  0.0006          1
   1.0     601.4   1.0000   1.0       pro  1.0 |       40.73   0.008    0.0137   0.014     3.987  0.0008       2.82
   1.0     601.4   1.0000   1.0       pro  3.0 |        6.76   0.001    0.0026   0.003     3.282  0.0007       29.9
   1.0     601.4   1.0000   1.0       rad  1.0 |       34.42   0.007    0.0119   0.012     3.964  0.0008       3.94
   1.0     601.4   1.0000   1.0       rad  3.0 |       21.41   0.004    0.0036   0.004     2.926  0.0006       2.97
   1.0     601.4   1.0000   1.0       nor  1.0 |       35.38   0.007    0.0099   0.010     4.644  0.0009       3.73
   1.0     601.4   1.0000   1.0       nor  3.0 |       35.74   0.007    0.0091   0.009     2.924  0.0006       1.07
   1.0     601.4   1.0000   1.0  perp_los  1.0 |       52.39   0.010    0.0081   0.008     3.439  0.0007        1.7
   1.0     601.4   1.0000   1.0  perp_los  3.0 |       15.40   0.003    0.0070   0.007     2.634  0.0005       5.75

   2.0    1202.8   0.0000   0.0         -  1.0 |     1252.37   0.250    0.4729   0.473     1.295  0.0003          1
   2.0    1202.8   0.0000   0.0         -  3.0 |      189.61   0.038    0.0716   0.072     1.158  0.0002          1
   2.0    1202.8   0.0000   1.0       pro  1.0 |       30.54   0.006    0.0083   0.008     1.409  0.0003   1.68e+03
   2.0    1202.8   0.0000   1.0       pro  3.0 |        9.64   0.002    0.0042   0.004     1.257  0.0003        387
   2.0    1202.8   0.0000   1.0       rad  1.0 |       24.81   0.005    0.0080   0.008     1.393  0.0003   2.55e+03
   2.0    1202.8   0.0000   1.0       rad  3.0 |       20.01   0.004    0.0080   0.008     1.188  0.0002       89.8
   2.0    1202.8   0.0000   1.0       nor  1.0 |       18.44   0.004    0.0071   0.007     2.063  0.0004   4.61e+03
   2.0    1202.8   0.0000   1.0       nor  3.0 |       15.81   0.003    0.0060   0.006     1.297  0.0003        144
   2.0    1202.8   0.0000   1.0  perp_los  1.0 |       23.93   0.005    0.0114   0.011     1.116  0.0002   2.74e+03
   2.0    1202.8   0.0000   1.0  perp_los  3.0 |       14.15   0.003    0.0047   0.005     1.090  0.0002        180
   2.0    1202.8   0.0075   0.0         -  1.0 |     1216.25   0.243    0.4592   0.459     1.303  0.0003          1
   2.0    1202.8   0.0075   0.0         -  3.0 |      188.72   0.038    0.0712   0.071     1.162  0.0002          1
   2.0    1202.8   0.0075   1.0       pro  1.0 |       30.47   0.006    0.0083   0.008     1.421  0.0003   1.59e+03
   2.0    1202.8   0.0075   1.0       pro  3.0 |        9.50   0.002    0.0042   0.004     1.263  0.0003        395
   2.0    1202.8   0.0075   1.0       rad  1.0 |       24.81   0.005    0.0080   0.008     1.400  0.0003    2.4e+03
   2.0    1202.8   0.0075   1.0       rad  3.0 |       19.89   0.004    0.0080   0.008     1.194  0.0002         90
   2.0    1202.8   0.0075   1.0       nor  1.0 |       18.37   0.004    0.0070   0.007     2.070  0.0004   4.38e+03
   2.0    1202.8   0.0075   1.0       nor  3.0 |       15.42   0.003    0.0058   0.006     1.302  0.0003        150
   2.0    1202.8   0.0075   1.0  perp_los  1.0 |       23.99   0.005    0.0114   0.011     1.121  0.0002   2.57e+03
   2.0    1202.8   0.0075   1.0  perp_los  3.0 |       14.09   0.003    0.0047   0.005     1.095  0.0002        179
   2.0    1202.8   0.0417   0.0         -  1.0 |      877.33   0.175    0.3303   0.330     1.479  0.0003          1
   2.0    1202.8   0.0417   0.0         -  3.0 |      177.48   0.035    0.0668   0.067     1.271  0.0003          1
   2.0    1202.8   0.0417   1.0       pro  1.0 |       29.13   0.006    0.0079   0.008     1.693  0.0003        907
   2.0    1202.8   0.0417   1.0       pro  3.0 |        7.49   0.001    0.0033   0.003     1.387  0.0003        562
   2.0    1202.8   0.0417   1.0       rad  1.0 |       25.17   0.005    0.0080   0.008     1.574  0.0003   1.22e+03
   2.0    1202.8   0.0417   1.0       rad  3.0 |       18.12   0.004    0.0072   0.007     1.312  0.0003       95.9
   2.0    1202.8   0.0417   1.0       nor  1.0 |       19.05   0.004    0.0072   0.007     2.288  0.0005   2.12e+03
   2.0    1202.8   0.0417   1.0       nor  3.0 |       19.01   0.004    0.0070   0.007     1.461  0.0003       87.2
   2.0    1202.8   0.0417   1.0  perp_los  1.0 |       25.55   0.005    0.0121   0.012     1.253  0.0003   1.18e+03
   2.0    1202.8   0.0417   1.0  perp_los  3.0 |       13.17   0.003    0.0044   0.004     1.193  0.0002        182
   2.0    1202.8   0.1000   0.0         -  1.0 |      598.02   0.120    0.2228   0.223     1.917  0.0004          1
   2.0    1202.8   0.1000   0.0         -  3.0 |      159.16   0.032    0.0593   0.059     1.557  0.0003          1
   2.0    1202.8   0.1000   1.0       pro  1.0 |       28.10   0.006    0.0073   0.007     2.183  0.0004        453
   2.0    1202.8   0.1000   1.0       pro  3.0 |        5.52   0.001    0.0026   0.003     1.674  0.0003        832
   2.0    1202.8   0.1000   1.0       rad  1.0 |       27.21   0.005    0.0085   0.008     1.975  0.0004        483
   2.0    1202.8   0.1000   1.0       rad  3.0 |       15.96   0.003    0.0062   0.006     1.551  0.0003       99.5
   2.0    1202.8   0.1000   1.0       nor  1.0 |       22.10   0.004    0.0083   0.008     2.839  0.0006        732
   2.0    1202.8   0.1000   1.0       nor  3.0 |       26.66   0.005    0.0097   0.010     1.852  0.0004       35.6
   2.0    1202.8   0.1000   1.0  perp_los  1.0 |       30.26   0.006    0.0140   0.014     1.606  0.0003        391
   2.0    1202.8   0.1000   1.0  perp_los  3.0 |       11.97   0.002    0.0038   0.004     1.401  0.0003        177
   2.0    1202.8   0.2500   0.0         -  1.0 |      286.19   0.057    0.0998   0.100     2.696  0.0005          1
   2.0    1202.8   0.2500   0.0         -  3.0 |      112.73   0.023    0.0395   0.039     2.243  0.0004          1
   2.0    1202.8   0.2500   1.0       pro  1.0 |       31.37   0.006    0.0072   0.007     2.904  0.0006       83.2
   2.0    1202.8   0.2500   1.0       pro  3.0 |        4.97   0.001    0.0025   0.003     2.245  0.0004        515
   2.0    1202.8   0.2500   1.0       rad  1.0 |       32.04   0.006    0.0093   0.009     2.747  0.0005       79.8
   2.0    1202.8   0.2500   1.0       rad  3.0 |       15.60   0.003    0.0058   0.006     2.030  0.0004       52.2
   2.0    1202.8   0.2500   1.0       nor  1.0 |       29.05   0.006    0.0102   0.010     3.807  0.0008         97
   2.0    1202.8   0.2500   1.0       nor  3.0 |       40.17   0.008    0.0139   0.014     2.511  0.0005       7.88
   2.0    1202.8   0.2500   1.0  perp_los  1.0 |       42.70   0.009    0.0186   0.019     2.323  0.0005       44.9
   2.0    1202.8   0.2500   1.0  perp_los  3.0 |       12.48   0.002    0.0036   0.004     1.877  0.0004       81.6
   2.0    1202.8   1.0000   0.0         -  1.0 |       68.68   0.014    0.0054   0.005     4.073  0.0008          1
   2.0    1202.8   1.0000   0.0         -  3.0 |       36.05   0.007    0.0034   0.003     3.567  0.0007          1
   2.0    1202.8   1.0000   1.0       pro  1.0 |       47.00   0.009    0.0087   0.009     4.187  0.0008       2.14
   2.0    1202.8   1.0000   1.0       pro  3.0 |        7.54   0.002    0.0031   0.003     3.580  0.0007       22.8
   2.0    1202.8   1.0000   1.0       rad  1.0 |       36.49   0.007    0.0058   0.006     4.233  0.0008       3.54
   2.0    1202.8   1.0000   1.0       rad  3.0 |       23.13   0.005    0.0029   0.003     3.366  0.0007       2.43
   2.0    1202.8   1.0000   1.0       nor  1.0 |       36.64   0.007    0.0044   0.004     4.776  0.0010       3.51
   2.0    1202.8   1.0000   1.0       nor  3.0 |       39.37   0.008    0.0035   0.003     3.266  0.0007      0.839
   2.0    1202.8   1.0000   1.0  perp_los  1.0 |       66.15   0.013    0.0043   0.004     3.753  0.0008       1.08
   2.0    1202.8   1.0000   1.0  perp_los  3.0 |       18.16   0.004    0.0043   0.004     3.253  0.0007       3.94

  10.0    6014.1   0.0000   0.0         -  1.0 |      456.80   0.091    0.3791   0.379     2.822  0.0006          1
  10.0    6014.1   0.0000   0.0         -  3.0 |       64.50   0.013    0.0540   0.054     2.718  0.0005          1
  10.0    6014.1   0.0000   1.0       pro  1.0 |      173.54   0.035    0.1109   0.111     2.867  0.0006       6.93
  10.0    6014.1   0.0000   1.0       pro  3.0 |       38.21   0.008    0.0321   0.032     2.750  0.0005       2.85
  10.0    6014.1   0.0000   1.0       rad  1.0 |       83.31   0.017    0.0701   0.070     2.863  0.0006       30.1
  10.0    6014.1   0.0000   1.0       rad  3.0 |       51.63   0.010    0.0417   0.042     2.727  0.0005       1.56
  10.0    6014.1   0.0000   1.0       nor  1.0 |       66.58   0.013    0.0553   0.055     3.582  0.0007       47.1
  10.0    6014.1   0.0000   1.0       nor  3.0 |       49.90   0.010    0.0419   0.042     2.781  0.0006       1.67
  10.0    6014.1   0.0000   1.0  perp_los  1.0 |      154.17   0.031    0.1381   0.138     2.755  0.0006       8.78
  10.0    6014.1   0.0000   1.0  perp_los  3.0 |       48.11   0.010    0.0422   0.042     2.701  0.0005        1.8
  10.0    6014.1   0.0075   0.0         -  1.0 |      455.99   0.091    0.3784   0.378     2.826  0.0006          1
  10.0    6014.1   0.0075   0.0         -  3.0 |       64.49   0.013    0.0540   0.054     2.720  0.0005          1
  10.0    6014.1   0.0075   1.0       pro  1.0 |      173.18   0.035    0.1106   0.111     2.876  0.0006       6.93
  10.0    6014.1   0.0075   1.0       pro  3.0 |       38.13   0.008    0.0320   0.032     2.753  0.0006       2.86
  10.0    6014.1   0.0075   1.0       rad  1.0 |       83.31   0.017    0.0701   0.070     2.866  0.0006         30
  10.0    6014.1   0.0075   1.0       rad  3.0 |       51.61   0.010    0.0417   0.042     2.729  0.0005       1.56
  10.0    6014.1   0.0075   1.0       nor  1.0 |       66.35   0.013    0.0551   0.055     3.588  0.0007       47.2
  10.0    6014.1   0.0075   1.0       nor  3.0 |       49.69   0.010    0.0416   0.042     2.780  0.0006       1.68
  10.0    6014.1   0.0075   1.0  perp_los  1.0 |      154.28   0.031    0.1382   0.138     2.758  0.0006       8.74
  10.0    6014.1   0.0075   1.0  perp_los  3.0 |       48.10   0.010    0.0422   0.042     2.704  0.0005        1.8
  10.0    6014.1   0.0417   0.0         -  1.0 |      435.15   0.087    0.3608   0.361     2.951  0.0006          1
  10.0    6014.1   0.0417   0.0         -  3.0 |       64.18   0.013    0.0537   0.054     2.791  0.0006          1
  10.0    6014.1   0.0417   1.0       pro  1.0 |      163.97   0.033    0.1047   0.105     3.104  0.0006       7.04
  10.0    6014.1   0.0417   1.0       pro  3.0 |       36.14   0.007    0.0301   0.030     2.826  0.0006       3.15
  10.0    6014.1   0.0417   1.0       rad  1.0 |       83.25   0.017    0.0699   0.070     2.957  0.0006       27.3
  10.0    6014.1   0.0417   1.0       rad  3.0 |       51.24   0.010    0.0413   0.041     2.800  0.0006       1.57
  10.0    6014.1   0.0417   1.0       nor  1.0 |       65.81   0.013    0.0546   0.055     3.681  0.0007       43.7
  10.0    6014.1   0.0417   1.0       nor  3.0 |       49.62   0.010    0.0410   0.041     2.835  0.0006       1.67
  10.0    6014.1   0.0417   1.0  perp_los  1.0 |      157.49   0.031    0.1410   0.141     2.846  0.0006       7.63
  10.0    6014.1   0.0417   1.0  perp_los  3.0 |       47.89   0.010    0.0421   0.042     2.790  0.0006        1.8
  10.0    6014.1   0.1000   0.0         -  1.0 |      375.97   0.075    0.3107   0.311     3.385  0.0007          1
  10.0    6014.1   0.1000   0.0         -  3.0 |       63.13   0.013    0.0524   0.052     3.056  0.0006          1
  10.0    6014.1   0.1000   1.0       pro  1.0 |      140.03   0.028    0.0893   0.089     3.680  0.0007       7.21
  10.0    6014.1   0.1000   1.0       pro  3.0 |       30.91   0.006    0.0250   0.025     3.097  0.0006       4.17
  10.0    6014.1   0.1000   1.0       rad  1.0 |       83.67   0.017    0.0700   0.070     3.310  0.0007       20.2
  10.0    6014.1   0.1000   1.0       rad  3.0 |       50.02   0.010    0.0399   0.040     3.060  0.0006       1.59
  10.0    6014.1   0.1000   1.0       nor  1.0 |       66.13   0.013    0.0547   0.055     4.018  0.0008       32.3
  10.0    6014.1   0.1000   1.0       nor  3.0 |       51.69   0.010    0.0420   0.042     3.072  0.0006       1.49
  10.0    6014.1   0.1000   1.0  perp_los  1.0 |      172.85   0.035    0.1542   0.154     3.167  0.0006       4.73
  10.0    6014.1   0.1000   1.0  perp_los  3.0 |       47.07   0.009    0.0414   0.041     3.103  0.0006        1.8
  10.0    6014.1   0.2500   0.0         -  1.0 |      262.83   0.053    0.2143   0.214     4.458  0.0009          1
  10.0    6014.1   0.2500   0.0         -  3.0 |       59.36   0.012    0.0485   0.048     3.799  0.0008          1
  10.0    6014.1   0.2500   1.0       pro  1.0 |      114.33   0.023    0.0718   0.072     4.529  0.0009       5.28
  10.0    6014.1   0.2500   1.0       pro  3.0 |       22.90   0.005    0.0173   0.017     3.809  0.0008       6.72
  10.0    6014.1   0.2500   1.0       rad  1.0 |       86.04   0.017    0.0711   0.071     4.333  0.0009       9.33
  10.0    6014.1   0.2500   1.0       rad  3.0 |       46.77   0.009    0.0367   0.037     3.745  0.0007       1.61
  10.0    6014.1   0.2500   1.0       nor  1.0 |       68.61   0.014    0.0561   0.056     5.013  0.0010       14.7
  10.0    6014.1   0.2500   1.0       nor  3.0 |       56.11   0.011    0.0449   0.045     3.728  0.0007       1.12
  10.0    6014.1   0.2500   1.0  perp_los  1.0 |      250.24   0.050    0.2200   0.220     4.192  0.0008        1.1
  10.0    6014.1   0.2500   1.0  perp_los  3.0 |       44.23   0.009    0.0386   0.039     3.922  0.0008        1.8
  10.0    6014.1   1.0000   0.0         -  1.0 |       90.25   0.018    0.0585   0.058     6.544  0.0013          1
  10.0    6014.1   1.0000   0.0         -  3.0 |       37.02   0.007    0.0241   0.024     5.991  0.0012          1
  10.0    6014.1   1.0000   1.0       pro  1.0 |       94.32   0.019    0.0439   0.044     6.206  0.0012      0.916
  10.0    6014.1   1.0000   1.0       pro  3.0 |       18.90   0.004    0.0115   0.011     5.674  0.0011       3.84
  10.0    6014.1   1.0000   1.0       rad  1.0 |       63.96   0.013    0.0424   0.042     6.617  0.0013       1.99
  10.0    6014.1   1.0000   1.0       rad  3.0 |       33.84   0.007    0.0215   0.022     5.804  0.0012        1.2
  10.0    6014.1   1.0000   1.0       nor  1.0 |       59.45   0.012    0.0388   0.039     6.976  0.0014        2.3
  10.0    6014.1   1.0000   1.0       nor  3.0 |       40.50   0.008    0.0261   0.026     5.840  0.0012      0.836
  10.0    6014.1   1.0000   1.0  perp_los  1.0 |      106.30   0.021    0.0763   0.076     6.548  0.0013      0.721
  10.0    6014.1   1.0000   1.0  perp_los  3.0 |       31.95   0.006    0.0222   0.022     6.094  0.0012       1.34

  50.0   30070.4   0.0000   0.0         -  1.0 |      416.17   0.083    0.1517   0.152    11.012  0.0022          1
  50.0   30070.4   0.0000   0.0         -  3.0 |       54.29   0.011    0.0353   0.035    10.718  0.0021          1
  50.0   30070.4   0.0000   1.0       pro  1.0 |      423.26   0.085    0.1287   0.129    11.048  0.0022      0.967
  50.0   30070.4   0.0000   1.0       pro  3.0 |       56.23   0.011    0.0356   0.036    10.741  0.0021      0.932
  50.0   30070.4   0.0000   1.0       rad  1.0 |      342.46   0.068    0.1303   0.130    11.045  0.0022       1.48
  50.0   30070.4   0.0000   1.0       rad  3.0 |       54.25   0.011    0.0350   0.035    10.724  0.0021          1
  50.0   30070.4   0.0000   1.0       nor  1.0 |      386.71   0.077    0.1413   0.141    11.398  0.0023       1.16
  50.0   30070.4   0.0000   1.0       nor  3.0 |       54.26   0.011    0.0353   0.035    10.718  0.0021          1
  50.0   30070.4   0.0000   1.0  perp_los  1.0 |      500.75   0.100    0.1896   0.190    10.963  0.0022      0.691
  50.0   30070.4   0.0000   1.0  perp_los  3.0 |       53.89   0.011    0.0357   0.036    10.707  0.0021       1.02
  50.0   30070.4   0.0075   0.0         -  1.0 |      416.12   0.083    0.1517   0.152    11.013  0.0022          1
  50.0   30070.4   0.0075   0.0         -  3.0 |       54.29   0.011    0.0353   0.035    10.718  0.0021          1
  50.0   30070.4   0.0075   1.0       pro  1.0 |      423.22   0.085    0.1286   0.129    11.049  0.0022      0.967
  50.0   30070.4   0.0075   1.0       pro  3.0 |       56.23   0.011    0.0356   0.036    10.741  0.0021      0.932
  50.0   30070.4   0.0075   1.0       rad  1.0 |      342.43   0.068    0.1303   0.130    11.047  0.0022       1.48
  50.0   30070.4   0.0075   1.0       rad  3.0 |       54.25   0.011    0.0350   0.035    10.725  0.0021          1
  50.0   30070.4   0.0075   1.0       nor  1.0 |      385.65   0.077    0.1409   0.141    11.431  0.0023       1.16
  50.0   30070.4   0.0075   1.0       nor  3.0 |       54.25   0.011    0.0353   0.035    10.719  0.0021          1
  50.0   30070.4   0.0075   1.0  perp_los  1.0 |      500.67   0.100    0.1895   0.190    10.965  0.0022      0.691
  50.0   30070.4   0.0075   1.0  perp_los  3.0 |       53.89   0.011    0.0357   0.036    10.708  0.0021       1.02
  50.0   30070.4   0.0417   0.0         -  1.0 |      414.75   0.083    0.1511   0.151    11.064  0.0022          1
  50.0   30070.4   0.0417   0.0         -  3.0 |       54.27   0.011    0.0353   0.035    10.741  0.0021          1
  50.0   30070.4   0.0417   1.0       pro  1.0 |      421.90   0.084    0.1282   0.128    11.087  0.0022      0.966
  50.0   30070.4   0.0417   1.0       pro  3.0 |       56.20   0.011    0.0356   0.036    10.764  0.0022      0.933
  50.0   30070.4   0.0417   1.0       rad  1.0 |      341.56   0.068    0.1299   0.130    11.092  0.0022       1.47
  50.0   30070.4   0.0417   1.0       rad  3.0 |       54.23   0.011    0.0349   0.035    10.747  0.0021          1
  50.0   30070.4   0.0417   1.0       nor  1.0 |      380.11   0.076    0.1389   0.139    11.609  0.0023       1.19
  50.0   30070.4   0.0417   1.0       nor  3.0 |       54.21   0.011    0.0353   0.035    10.740  0.0021          1
  50.0   30070.4   0.0417   1.0  perp_los  1.0 |      498.49   0.100    0.1887   0.189    11.032  0.0022      0.692
  50.0   30070.4   0.0417   1.0  perp_los  3.0 |       53.86   0.011    0.0356   0.036    10.730  0.0021       1.02
  50.0   30070.4   0.1000   0.0         -  1.0 |      408.34   0.082    0.1485   0.149    11.299  0.0023          1
  50.0   30070.4   0.1000   0.0         -  3.0 |       54.16   0.011    0.0351   0.035    10.847  0.0022          1
  50.0   30070.4   0.1000   1.0       pro  1.0 |      415.70   0.083    0.1262   0.126    11.264  0.0023      0.965
  50.0   30070.4   0.1000   1.0       pro  3.0 |       56.05   0.011    0.0353   0.035    10.870  0.0022      0.934
  50.0   30070.4   0.1000   1.0       rad  1.0 |      337.47   0.067    0.1281   0.128    11.305  0.0023       1.46
  50.0   30070.4   0.1000   1.0       rad  3.0 |       54.11   0.011    0.0347   0.035    10.853  0.0022          1
  50.0   30070.4   0.1000   1.0       nor  1.0 |      368.31   0.074    0.1344   0.134    12.004  0.0024       1.23
  50.0   30070.4   0.1000   1.0       nor  3.0 |       54.06   0.011    0.0350   0.035    10.844  0.0022          1
  50.0   30070.4   0.1000   1.0  perp_los  1.0 |      488.33   0.098    0.1845   0.184    11.339  0.0023      0.699
  50.0   30070.4   0.1000   1.0  perp_los  3.0 |       53.76   0.011    0.0354   0.035    10.837  0.0022       1.01
  50.0   30070.4   0.2500   0.0         -  1.0 |      376.29   0.075    0.1357   0.136    12.489  0.0025          1
  50.0   30070.4   0.2500   0.0         -  3.0 |       53.56   0.011    0.0338   0.034    11.445  0.0023          1
  50.0   30070.4   0.2500   1.0       pro  1.0 |      383.97   0.077    0.1157   0.116    12.210  0.0024       0.96
  50.0   30070.4   0.2500   1.0       pro  3.0 |       55.25   0.011    0.0340   0.034    11.469  0.0023       0.94
  50.0   30070.4   0.2500   1.0       rad  1.0 |      316.57   0.063    0.1192   0.119    12.419  0.0025       1.41
  50.0   30070.4   0.2500   1.0       rad  3.0 |       53.51   0.011    0.0335   0.033    11.448  0.0023          1
  50.0   30070.4   0.2500   1.0       nor  1.0 |      331.58   0.066    0.1202   0.120    13.300  0.0027       1.29
  50.0   30070.4   0.2500   1.0       nor  3.0 |       53.40   0.011    0.0337   0.034    11.437  0.0023       1.01
  50.0   30070.4   0.2500   1.0  perp_los  1.0 |      439.65   0.088    0.1646   0.165    12.777  0.0026      0.733
  50.0   30070.4   0.2500   1.0  perp_los  3.0 |       53.19   0.011    0.0342   0.034    11.438  0.0023       1.01
  50.0   30070.4   1.0000   0.0         -  1.0 |      231.27   0.046    0.0816   0.082    18.488  0.0037          1
  50.0   30070.4   1.0000   0.0         -  3.0 |       49.73   0.010    0.0286   0.029    15.504  0.0031          1
  50.0   30070.4   1.0000   1.0       pro  1.0 |      235.19   0.047    0.0703   0.070    17.899  0.0036      0.967
  50.0   30070.4   1.0000   1.0       pro  3.0 |       50.66   0.010    0.0281   0.028    15.499  0.0031      0.964
  50.0   30070.4   1.0000   1.0       rad  1.0 |      211.16   0.042    0.0777   0.078    18.481  0.0037        1.2
  50.0   30070.4   1.0000   1.0       rad  3.0 |       49.68   0.010    0.0283   0.028    15.488  0.0031          1
  50.0   30070.4   1.0000   1.0       nor  1.0 |      207.81   0.042    0.0743   0.074    18.924  0.0038       1.24
  50.0   30070.4   1.0000   1.0       nor  3.0 |       49.78   0.010    0.0285   0.028    15.476  0.0031      0.998
  50.0   30070.4   1.0000   1.0  perp_los  1.0 |      248.60   0.050    0.0908   0.091    18.807  0.0038      0.865
  50.0   30070.4   1.0000   1.0  perp_los  3.0 |       49.47   0.010    0.0290   0.029    15.523  0.0031       1.01

wrote /Users/pete/space_training/web_data/results/n3d_tightbox_dualcontrol.csv (420 rows)

angle-split: what does the OUT-OF-PLANE angle buy for RANGE?
     da_m   dI_deg    dv  axis    angles |    sig_range  sig_plane
      0.0   0.0000   0.0     -      both |          inf        inf
      0.0   0.0000   0.0     -   inplane |          inf        inf
      0.0   0.0000   0.0     -       oop |          inf        inf

      0.0   0.0000   1.0   nor      both |        12.47      1.763
      0.0   0.0000   1.0   nor   inplane |          inf        inf
      0.0   0.0000   1.0   nor       oop |        83.72      1.804

      0.0   0.0417   0.0     -      both |      1718.09      0.926
      0.0   0.0417   0.0     -   inplane |          inf        inf
      0.0   0.0417   0.0     -       oop |     14631.73      1.273

      0.0   0.0417   1.0   nor      both |        13.71      2.144
      0.0   0.0417   1.0   nor   inplane |          inf        inf
      0.0   0.0417   1.0   nor       oop |        14.45      2.640

      0.0   0.2500   0.0     -      both |       297.82      1.904
      0.0   0.2500   0.0     -   inplane |          inf        inf
      0.0   0.2500   0.0     -       oop |       561.25      2.132

      0.0   0.2500   1.0   nor      both |        24.48      3.807
      0.0   0.2500   1.0   nor   inplane |          inf        inf
      0.0   0.2500   1.0   nor       oop |        24.82      4.056

      0.0   1.0000   0.0     -      both |        67.31      3.389
      0.0   1.0000   0.0     -   inplane |          inf        inf
      0.0   1.0000   0.0     -       oop |       105.63      3.520

      0.0   1.0000   1.0   nor      both |        34.85      4.553
      0.0   1.0000   1.0   nor   inplane |          inf        inf
      0.0   1.0000   1.0   nor       oop |        39.51      4.742

    601.4   0.0000   0.0     -      both |      2354.06      1.051
    601.4   0.0000   0.0     -   inplane |          inf        inf
    601.4   0.0000   0.0     -       oop |          inf        inf

    601.4   0.0000   1.0   nor      both |        15.23      1.911
    601.4   0.0000   1.0   nor   inplane |          inf        inf
    601.4   0.0000   1.0   nor       oop |       198.13      1.977

    601.4   0.0417   0.0     -      both |      1197.15      1.218
    601.4   0.0417   0.0     -   inplane |          inf        inf
    601.4   0.0417   0.0     -       oop |      5448.90      2.665

    601.4   0.0417   1.0   nor      both |        16.03      2.200
    601.4   0.0417   1.0   nor   inplane |          inf        inf
    601.4   0.0417   1.0   nor       oop |        17.41      3.025

    601.4   0.2500   0.0     -      both |       299.48      2.352
    601.4   0.2500   0.0     -   inplane |          inf        inf
    601.4   0.2500   0.0     -       oop |       595.33      2.853

    601.4   0.2500   1.0   nor      both |        26.54      3.791
    601.4   0.2500   1.0   nor   inplane |          inf        inf
    601.4   0.2500   1.0   nor       oop |        27.08      4.153

    601.4   1.0000   0.0     -      both |        68.36      3.752
    601.4   1.0000   0.0     -   inplane |          inf        inf
    601.4   1.0000   0.0     -       oop |       114.32      3.896

    601.4   1.0000   1.0   nor      both |        35.38      4.644
    601.4   1.0000   1.0   nor   inplane |          inf        inf
    601.4   1.0000   1.0   nor       oop |        41.24      4.819

  30070.4   0.0000   0.0     -      both |       416.17     11.012
  30070.4   0.0000   0.0     -   inplane |          inf        inf
  30070.4   0.0000   0.0     -       oop |          inf        inf

  30070.4   0.0000   1.0   nor      both |       386.71     11.398
  30070.4   0.0000   1.0   nor   inplane |          inf        inf
  30070.4   0.0000   1.0   nor       oop |     10782.24     14.176

  30070.4   0.0417   0.0     -      both |       414.75     11.064
  30070.4   0.0417   0.0     -   inplane |          inf        inf
  30070.4   0.0417   0.0     -       oop |      9618.04     21.497

  30070.4   0.0417   1.0   nor      both |       380.11     11.609
  30070.4   0.0417   1.0   nor   inplane |          inf        inf
  30070.4   0.0417   1.0   nor       oop |      1389.68     18.257

  30070.4   0.2500   0.0     -      both |       376.29     12.489
  30070.4   0.2500   0.0     -   inplane |          inf        inf
  30070.4   0.2500   0.0     -       oop |      1628.10     21.913

  30070.4   0.2500   1.0   nor      both |       331.58     13.300
  30070.4   0.2500   1.0   nor   inplane |          inf        inf
  30070.4   0.2500   1.0   nor       oop |       652.24     20.268

  30070.4   1.0000   0.0     -      both |       231.27     18.488
  30070.4   1.0000   0.0     -   inplane |          inf        inf
  30070.4   1.0000   0.0     -       oop |       449.65     25.273

  30070.4   1.0000   1.0   nor      both |       207.81     18.924
  30070.4   1.0000   1.0   nor   inplane |          inf        inf
  30070.4   1.0000   1.0   nor       oop |       334.95     24.760

wrote /Users/pete/space_training/web_data/results/n3d_tightbox_anglesplit.csv (72 rows)

420 + 72 rows in 184.5 s
